Epoch,Loss,Dice,fold,Model,Class,Split
0,"0,65","0,57",2,DeepLabV3+,aorta,test
1,"0,54","0,64",2,DeepLabV3+,aorta,test
2,"0,45","0,73",2,DeepLabV3+,aorta,test
3,"0,35","0,79",2,DeepLabV3+,aorta,test
4,"0,27","0,84",2,DeepLabV3+,aorta,test
5,"0,24","0,85",2,DeepLabV3+,aorta,test
6,"0,21","0,86",2,DeepLabV3+,aorta,test
7,"0,21","0,85",2,DeepLabV3+,aorta,test
8,"0,18","0,87",2,DeepLabV3+,aorta,test
9,"0,17","0,87",2,DeepLabV3+,aorta,test
10,"0,17","0,87",2,DeepLabV3+,aorta,test
11,"0,16","0,86",2,DeepLabV3+,aorta,test
12,"0,16","0,86",2,DeepLabV3+,aorta,test
13,"0,15","0,87",2,DeepLabV3+,aorta,test
14,"0,14","0,87",2,DeepLabV3+,aorta,test
15,"0,15","0,87",2,DeepLabV3+,aorta,test
16,"0,14","0,87",2,DeepLabV3+,aorta,test
17,"0,14","0,88",2,DeepLabV3+,aorta,test
18,"0,14","0,87",2,DeepLabV3+,aorta,test
19,"0,13","0,88",2,DeepLabV3+,aorta,test
20,"0,14","0,87",2,DeepLabV3+,aorta,test
21,"0,12","0,88",2,DeepLabV3+,aorta,test
22,"0,13","0,88",2,DeepLabV3+,aorta,test
23,"0,13","0,88",2,DeepLabV3+,aorta,test
24,"0,12","0,88",2,DeepLabV3+,aorta,test
25,"0,13","0,87",2,DeepLabV3+,aorta,test
26,"0,13","0,88",2,DeepLabV3+,aorta,test
27,"0,13","0,88",2,DeepLabV3+,aorta,test
28,"0,13","0,88",2,DeepLabV3+,aorta,test
29,"0,13","0,88",2,DeepLabV3+,aorta,test
0,"0,21","0,83",3,DeepLabV3+,aorta,test
1,"0,16","0,85",3,DeepLabV3+,aorta,test
2,"0,14","0,86",3,DeepLabV3+,aorta,test
3,"0,12","0,88",3,DeepLabV3+,aorta,test
4,"0,11","0,90",3,DeepLabV3+,aorta,test
5,"0,11","0,89",3,DeepLabV3+,aorta,test
6,"0,10","0,90",3,DeepLabV3+,aorta,test
7,"0,10","0,90",3,DeepLabV3+,aorta,test
8,"0,11","0,89",3,DeepLabV3+,aorta,test
9,"0,11","0,89",3,DeepLabV3+,aorta,test
10,"0,10","0,90",3,DeepLabV3+,aorta,test
11,"0,11","0,89",3,DeepLabV3+,aorta,test
12,"0,11","0,89",3,DeepLabV3+,aorta,test
13,"0,11","0,89",3,DeepLabV3+,aorta,test
14,"0,10","0,90",3,DeepLabV3+,aorta,test
15,"0,11","0,89",3,DeepLabV3+,aorta,test
16,"0,11","0,89",3,DeepLabV3+,aorta,test
17,"0,11","0,89",3,DeepLabV3+,aorta,test
18,"0,11","0,89",3,DeepLabV3+,aorta,test
19,"0,11","0,89",3,DeepLabV3+,aorta,test
20,"0,10","0,90",3,DeepLabV3+,aorta,test
21,"0,10","0,90",3,DeepLabV3+,aorta,test
22,"0,10","0,90",3,DeepLabV3+,aorta,test
23,"0,10","0,90",3,DeepLabV3+,aorta,test
24,"0,10","0,90",3,DeepLabV3+,aorta,test
25,"0,10","0,90",3,DeepLabV3+,aorta,test
26,"0,10","0,90",3,DeepLabV3+,aorta,test
27,"0,10","0,90",3,DeepLabV3+,aorta,test
28,"0,09","0,91",3,DeepLabV3+,aorta,test
29,"0,10","0,90",3,DeepLabV3+,aorta,test
0,"0,68","0,50",1,DeepLabV3+,aorta,test
1,"0,54","0,68",1,DeepLabV3+,aorta,test
2,"0,44","0,76",1,DeepLabV3+,aorta,test
3,"0,33","0,82",1,DeepLabV3+,aorta,test
4,"0,30","0,83",1,DeepLabV3+,aorta,test
5,"0,25","0,85",1,DeepLabV3+,aorta,test
6,"0,21","0,87",1,DeepLabV3+,aorta,test
7,"0,21","0,86",1,DeepLabV3+,aorta,test
8,"0,18","0,88",1,DeepLabV3+,aorta,test
9,"0,17","0,88",1,DeepLabV3+,aorta,test
10,"0,16","0,87",1,DeepLabV3+,aorta,test
11,"0,15","0,88",1,DeepLabV3+,aorta,test
12,"0,16","0,88",1,DeepLabV3+,aorta,test
13,"0,13","0,89",1,DeepLabV3+,aorta,test
14,"0,13","0,88",1,DeepLabV3+,aorta,test
15,"0,13","0,89",1,DeepLabV3+,aorta,test
16,"0,13","0,88",1,DeepLabV3+,aorta,test
17,"0,13","0,88",1,DeepLabV3+,aorta,test
18,"0,13","0,88",1,DeepLabV3+,aorta,test
19,"0,13","0,88",1,DeepLabV3+,aorta,test
20,"0,13","0,88",1,DeepLabV3+,aorta,test
21,"0,13","0,88",1,DeepLabV3+,aorta,test
22,"0,12","0,89",1,DeepLabV3+,aorta,test
23,"0,12","0,89",1,DeepLabV3+,aorta,test
24,"0,12","0,88",1,DeepLabV3+,aorta,test
25,"0,12","0,89",1,DeepLabV3+,aorta,test
26,"0,12","0,89",1,DeepLabV3+,aorta,test
27,"0,12","0,89",1,DeepLabV3+,aorta,test
28,"0,12","0,89",1,DeepLabV3+,aorta,test
29,"0,12","0,89",1,DeepLabV3+,aorta,test
0,"0,46","0,72",4,DeepLabV3+,aorta,test
1,"0,25","0,85",4,DeepLabV3+,aorta,test
2,"0,20","0,85",4,DeepLabV3+,aorta,test
3,"0,16","0,87",4,DeepLabV3+,aorta,test
4,"0,15","0,87",4,DeepLabV3+,aorta,test
5,"0,13","0,88",4,DeepLabV3+,aorta,test
6,"0,13","0,88",4,DeepLabV3+,aorta,test
7,"0,13","0,88",4,DeepLabV3+,aorta,test
8,"0,12","0,89",4,DeepLabV3+,aorta,test
9,"0,12","0,88",4,DeepLabV3+,aorta,test
10,"0,13","0,88",4,DeepLabV3+,aorta,test
11,"0,12","0,89",4,DeepLabV3+,aorta,test
12,"0,12","0,89",4,DeepLabV3+,aorta,test
13,"0,12","0,88",4,DeepLabV3+,aorta,test
14,"0,12","0,89",4,DeepLabV3+,aorta,test
15,"0,12","0,88",4,DeepLabV3+,aorta,test
16,"0,12","0,88",4,DeepLabV3+,aorta,test
17,"0,12","0,88",4,DeepLabV3+,aorta,test
18,"0,12","0,88",4,DeepLabV3+,aorta,test
19,"0,11","0,89",4,DeepLabV3+,aorta,test
20,"0,12","0,88",4,DeepLabV3+,aorta,test
21,"0,12","0,88",4,DeepLabV3+,aorta,test
22,"0,11","0,89",4,DeepLabV3+,aorta,test
23,"0,11","0,89",4,DeepLabV3+,aorta,test
24,"0,12","0,88",4,DeepLabV3+,aorta,test
25,"0,12","0,88",4,DeepLabV3+,aorta,test
26,"0,11","0,89",4,DeepLabV3+,aorta,test
27,"0,11","0,89",4,DeepLabV3+,aorta,test
28,"0,11","0,89",4,DeepLabV3+,aorta,test
29,"0,11","0,89",4,DeepLabV3+,aorta,test
0,"0,32","0,82",5,DeepLabV3+,aorta,test
1,"0,17","0,88",5,DeepLabV3+,aorta,test
2,"0,12","0,90",5,DeepLabV3+,aorta,test
3,"0,11","0,91",5,DeepLabV3+,aorta,test
4,"0,10","0,91",5,DeepLabV3+,aorta,test
5,"0,10","0,91",5,DeepLabV3+,aorta,test
6,"0,10","0,90",5,DeepLabV3+,aorta,test
7,"0,10","0,91",5,DeepLabV3+,aorta,test
8,"0,11","0,89",5,DeepLabV3+,aorta,test
9,"0,11","0,89",5,DeepLabV3+,aorta,test
10,"0,10","0,91",5,DeepLabV3+,aorta,test
11,"0,09","0,91",5,DeepLabV3+,aorta,test
12,"0,09","0,91",5,DeepLabV3+,aorta,test
13,"0,10","0,90",5,DeepLabV3+,aorta,test
14,"0,09","0,91",5,DeepLabV3+,aorta,test
15,"0,10","0,91",5,DeepLabV3+,aorta,test
16,"0,09","0,91",5,DeepLabV3+,aorta,test
17,"0,09","0,91",5,DeepLabV3+,aorta,test
18,"0,10","0,90",5,DeepLabV3+,aorta,test
19,"0,09","0,91",5,DeepLabV3+,aorta,test
20,"0,10","0,90",5,DeepLabV3+,aorta,test
21,"0,09","0,91",5,DeepLabV3+,aorta,test
22,"0,10","0,90",5,DeepLabV3+,aorta,test
23,"0,10","0,90",5,DeepLabV3+,aorta,test
24,"0,09","0,91",5,DeepLabV3+,aorta,test
25,"0,10","0,90",5,DeepLabV3+,aorta,test
26,"0,09","0,91",5,DeepLabV3+,aorta,test
27,"0,09","0,91",5,DeepLabV3+,aorta,test
28,"0,10","0,90",5,DeepLabV3+,aorta,test
29,"0,09","0,91",5,DeepLabV3+,aorta,test
0,"0,24","0,83",2,U-Net++,aorta,test
1,"0,18","0,85",2,U-Net++,aorta,test
2,"0,19","0,82",2,U-Net++,aorta,test
3,"0,21","0,80",2,U-Net++,aorta,test
4,"0,15","0,86",2,U-Net++,aorta,test
5,"0,15","0,85",2,U-Net++,aorta,test
6,"0,15","0,86",2,U-Net++,aorta,test
7,"0,14","0,86",2,U-Net++,aorta,test
8,"0,13","0,87",2,U-Net++,aorta,test
9,"0,13","0,87",2,U-Net++,aorta,test
10,"0,13","0,87",2,U-Net++,aorta,test
11,"0,13","0,87",2,U-Net++,aorta,test
12,"0,14","0,87",2,U-Net++,aorta,test
13,"0,13","0,88",2,U-Net++,aorta,test
14,"0,13","0,88",2,U-Net++,aorta,test
15,"0,15","0,85",2,U-Net++,aorta,test
16,"0,13","0,87",2,U-Net++,aorta,test
17,"0,14","0,86",2,U-Net++,aorta,test
18,"0,11","0,89",2,U-Net++,aorta,test
19,"0,13","0,87",2,U-Net++,aorta,test
20,"0,13","0,87",2,U-Net++,aorta,test
21,"0,13","0,87",2,U-Net++,aorta,test
22,"0,13","0,87",2,U-Net++,aorta,test
23,"0,13","0,87",2,U-Net++,aorta,test
24,"0,13","0,87",2,U-Net++,aorta,test
25,"0,12","0,88",2,U-Net++,aorta,test
26,"0,11","0,89",2,U-Net++,aorta,test
27,"0,11","0,89",2,U-Net++,aorta,test
28,"0,11","0,89",2,U-Net++,aorta,test
29,"0,11","0,89",2,U-Net++,aorta,test
0,"0,34","0,82",3,U-Net++,aorta,test
1,"0,18","0,88",3,U-Net++,aorta,test
2,"0,15","0,87",3,U-Net++,aorta,test
3,"0,13","0,89",3,U-Net++,aorta,test
4,"0,13","0,88",3,U-Net++,aorta,test
5,"0,12","0,89",3,U-Net++,aorta,test
6,"0,11","0,90",3,U-Net++,aorta,test
7,"0,11","0,89",3,U-Net++,aorta,test
8,"0,10","0,90",3,U-Net++,aorta,test
9,"0,13","0,87",3,U-Net++,aorta,test
10,"0,10","0,90",3,U-Net++,aorta,test
11,"0,11","0,90",3,U-Net++,aorta,test
12,"0,12","0,88",3,U-Net++,aorta,test
13,"0,15","0,85",3,U-Net++,aorta,test
14,"0,12","0,88",3,U-Net++,aorta,test
15,"0,11","0,89",3,U-Net++,aorta,test
16,"0,11","0,89",3,U-Net++,aorta,test
17,"0,10","0,90",3,U-Net++,aorta,test
18,"0,11","0,89",3,U-Net++,aorta,test
19,"0,14","0,86",3,U-Net++,aorta,test
20,"0,10","0,90",3,U-Net++,aorta,test
21,"0,11","0,89",3,U-Net++,aorta,test
22,"0,11","0,89",3,U-Net++,aorta,test
23,"0,11","0,89",3,U-Net++,aorta,test
24,"0,10","0,90",3,U-Net++,aorta,test
25,"0,10","0,90",3,U-Net++,aorta,test
26,"0,10","0,90",3,U-Net++,aorta,test
27,"0,10","0,90",3,U-Net++,aorta,test
28,"0,10","0,90",3,U-Net++,aorta,test
29,"0,10","0,90",3,U-Net++,aorta,test
0,"0,20","0,86",1,U-Net++,aorta,test
1,"0,22","0,79",1,U-Net++,aorta,test
2,"0,14","0,87",1,U-Net++,aorta,test
3,"0,14","0,86",1,U-Net++,aorta,test
4,"0,13","0,87",1,U-Net++,aorta,test
5,"0,13","0,88",1,U-Net++,aorta,test
