epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.2003665,0.693563,0.8055404,0.13892639,0.7595262,0.86196893
1,0.1029749,0.8167487,0.8978202,0.118435904,0.7911863,0.881942
2,0.09292633,0.83340716,0.9075082,0.11070234,0.8039872,0.88957006
3,0.08431445,0.8466518,0.91594905,0.117459744,0.7917902,0.8827713
4,0.081683844,0.85103124,0.91854006,0.10553436,0.81125045,0.8946594
5,0.07958854,0.85433507,0.9205925,0.12413195,0.78134215,0.87602764
6,0.07670463,0.85938996,0.9234601,0.10871372,0.8061583,0.8913998
7,0.07625545,0.8601239,0.9238997,0.096522406,0.82622945,0.9035968
8,0.073260084,0.86502105,0.92688555,0.10385495,0.8140494,0.89625484
9,0.072978556,0.86595374,0.9271415,0.10471783,0.81268734,0.89539844
10,0.07022775,0.8704306,0.92988575,0.11257996,0.800038,0.8875251
11,0.07097495,0.869066,0.9291386,0.09619072,0.8268396,0.9039446
12,0.06929759,0.87205803,0.9308107,0.1020643,0.8170221,0.8980291
13,0.06824694,0.8739877,0.931849,0.09922503,0.82204247,0.90087366
14,0.07011456,0.8706314,0.9299782,0.11387159,0.7978185,0.8862019
15,0.06792453,0.87446195,0.93215775,0.10421327,0.8134349,0.89586043
16,0.06919223,0.87240744,0.9308898,0.094704844,0.82922524,0.905359
17,0.065398745,0.8786128,0.93468016,0.09599231,0.82698137,0.9040715
18,0.063939966,0.88141245,0.9361319,0.10330591,0.8148538,0.89677054
19,0.064413406,0.88033086,0.93565685,0.10512853,0.8121481,0.8949421
20,0.06364046,0.88187766,0.9364283,0.0984073,0.82371104,0.9016524
21,0.06464624,0.8800876,0.93541443,0.09484484,0.8293906,0.9052198
22,0.06302482,0.88297933,0.9370367,0.09321542,0.83169293,0.9068527
23,0.06264222,0.88334227,0.93742055,0.09004454,0.8372163,0.9100247
24,0.062576026,0.88350165,0.9374796,0.09708233,0.8252014,0.9029807
25,0.06163322,0.88551366,0.9384254,0.10190513,0.8173806,0.898157
26,0.06311566,0.88271046,0.93694156,0.101746365,0.8176293,0.89830726
27,0.062349103,0.8839958,0.93770593,0.100719534,0.81933963,0.8993399
28,0.061443236,0.88571864,0.9386096,0.100981325,0.8189069,0.8990714
29,0.060273744,0.8876752,0.93978137,0.10077463,0.8192671,0.8992851
30,0.05963479,0.8888585,0.940421,0.09997817,0.8205838,0.90007716
31,0.058085203,0.8915692,0.9419639,0.100105196,0.82037497,0.8999538
32,0.058607403,0.89063805,0.94144475,0.09943157,0.8215008,0.900624
33,0.05734517,0.89285237,0.9427057,0.09948213,0.82139826,0.9005689
34,0.058709927,0.89079446,0.94134444,0.099421196,0.8215031,0.90062714
