epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.45744014,0.39883485,0.5598197,0.36993062,0.4629776,0.63274974
1,0.26682034,0.58779716,0.7394273,0.19604126,0.6768322,0.8070324
2,0.2064136,0.6641292,0.79723084,0.18342479,0.69301313,0.81845975
3,0.17710344,0.70353246,0.8254117,0.15669864,0.7315616,0.8447597
4,0.15124492,0.74065703,0.8505975,0.17684981,0.70079446,0.82382107
5,0.1336238,0.7668786,0.86778367,0.19774622,0.6708835,0.80274856
6,0.122298986,0.78457606,0.8788911,0.14047754,0.7548184,0.8600169
7,0.1231703,0.7835836,0.8779117,0.1202717,0.78699964,0.88053495
8,0.1074293,0.80780226,0.89346045,0.12576629,0.77819985,0.87502253
9,0.10805069,0.8066064,0.89267474,0.182857,0.6919651,0.81765723
10,0.100490384,0.8188138,0.9001275,0.11016373,0.80256826,0.8901943
11,0.09724047,0.8242441,0.9033698,0.11204015,0.79958934,0.88829887
12,0.096094884,0.82597727,0.90443003,0.12469896,0.77929026,0.8757299
13,0.08933287,0.8371654,0.9111925,0.14342383,0.75028557,0.85706365
14,0.09342995,0.8302794,0.9070498,0.10665207,0.8082836,0.89373076
15,0.09045655,0.8352395,0.90996766,0.101551026,0.8166514,0.89873236
16,0.090182975,0.835689,0.910218,0.1058718,0.80952895,0.89443934
17,0.086084075,0.8424194,0.914276,0.13200082,0.76787627,0.8684917
18,0.08262912,0.84811157,0.91769165,0.11057886,0.8017911,0.88973343
19,0.082013965,0.8492583,0.9183071,0.11601527,0.79275024,0.88422817
20,0.08349349,0.84673953,0.9168139,0.114736475,0.79505044,0.8855807
21,0.083354555,0.84693605,0.91694665,0.18793394,0.6842635,0.8123623
22,0.081305526,0.8503908,0.9189783,0.095576145,0.8263431,0.9046419
23,0.079614796,0.85329497,0.9206664,0.11320995,0.7975353,0.8870422
24,0.07929019,0.85379887,0.9209479,0.09446444,0.82820326,0.9057401
25,0.081328906,0.85039896,0.9189336,0.10016859,0.81886137,0.900017
26,0.07688817,0.8578745,0.9233487,0.09658976,0.8247749,0.90359735
27,0.07264592,0.86514515,0.9275855,0.09522966,0.8270147,0.9049565
28,0.073563054,0.86360294,0.92666286,0.094576225,0.8281134,0.90562505
29,0.07233535,0.8656481,0.92789274,0.093452394,0.8299942,0.9067598
30,0.07220785,0.8659567,0.9280117,0.094103545,0.8288292,0.90608567
31,0.069571696,0.87048346,0.9306512,0.0946509,0.8278805,0.90553135
32,0.07207753,0.86616063,0.9281343,0.09395751,0.82902664,0.9062225
33,0.071194306,0.8677082,0.92902505,0.09419989,0.8286321,0.90599567
34,0.07051109,0.8688693,0.92970145,0.094881445,0.827475,0.9053061
35,0.07073528,0.8686138,0.929475,0.095499516,0.82643086,0.9046896
36,0.07063465,0.86857903,0.9295674,0.09389873,0.8291098,0.90628254
37,0.06969282,0.8703137,0.93051916,0.09514028,0.82702494,0.90504473
38,0.07026851,0.86930215,0.9299407,0.09446334,0.82816887,0.9057331
39,0.06955627,0.87055045,0.9306583,0.09333254,0.8300736,0.9068655
40,0.070426166,0.86903507,0.9297729,0.09448909,0.82814044,0.9057183
41,0.07044043,0.86909914,0.9297679,0.09372707,0.8294151,0.9064744
42,0.07046431,0.8689144,0.9297387,0.093691655,0.8294573,0.9064988
43,0.06968985,0.8702336,0.9305074,0.09380532,0.82927436,0.90639377
44,0.06683544,0.87523454,0.93337107,0.095242165,0.8268367,0.9049462
