epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.3562873,0.51768076,0.6615575,0.19937752,0.67559457,0.80555016
1,0.15482071,0.73920757,0.8494496,0.13389963,0.7688433,0.8689585
2,0.11799068,0.7930116,0.8841647,0.1268745,0.7779696,0.874806
3,0.10630459,0.81068605,0.89503133,0.10209342,0.81694347,0.8989847
4,0.096438736,0.8261878,0.90452176,0.10739355,0.80786365,0.89331806
5,0.09841004,0.8234697,0.90235496,0.10079731,0.8184141,0.8998233
6,0.09344686,0.8306672,0.90709966,0.124954075,0.77938676,0.87564456
7,0.08805932,0.83961225,0.9124201,0.097413205,0.8235954,0.9030291
8,0.085142404,0.8445222,0.91531616,0.09981946,0.81974715,0.9005875
9,0.08570868,0.84338605,0.9147192,0.102046594,0.8163001,0.89833033
10,0.08222548,0.84910357,0.91812843,0.09617801,0.825522,0.90403014
11,0.08136698,0.85048455,0.9189341,0.11021109,0.8030132,0.8903177
12,0.081240945,0.8507828,0.91905105,0.09721636,0.8237323,0.90306145
13,0.07850998,0.8554924,0.9217661,0.0940687,0.82897526,0.9062021
14,0.07997728,0.85293823,0.9202748,0.092671126,0.8313918,0.90757686
15,0.075193964,0.8609376,0.92504525,0.08802522,0.8393054,0.9121944
16,0.07411546,0.86288136,0.926096,0.09383163,0.8293364,0.90638417
17,0.074436,0.86222315,0.9257575,0.10229524,0.81532013,0.8978768
18,0.07588145,0.8596814,0.92431146,0.09499063,0.82758,0.9052437
19,0.07094959,0.8683295,0.9292399,0.09465811,0.82784826,0.9055455
20,0.07283079,0.8649363,0.92733794,0.100559585,0.8179904,0.89959913
21,0.07292444,0.8649395,0.9272475,0.090578765,0.8346051,0.909559
22,0.06821415,0.87294436,0.9319487,0.097167335,0.8239415,0.9030175
23,0.07068559,0.86866546,0.92946625,0.09602208,0.8257464,0.9041234
24,0.06827396,0.87290776,0.93187416,0.098137945,0.8219304,0.90199506
25,0.067733124,0.87380624,0.93241394,0.1045099,0.81149393,0.89565694
26,0.07074455,0.8685244,0.9294062,0.101457484,0.81659335,0.8986988
