epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.35718584,0.6928259,0.805282,0.21546191,0.7620991,0.86465526
1,0.18536514,0.83199334,0.90798926,0.16326728,0.8030055,0.89043486
2,0.13713184,0.8477879,0.91742706,0.13323532,0.8176415,0.8993721
3,0.11260728,0.8576742,0.92311,0.12609527,0.8136538,0.8969428
4,0.09399693,0.8696885,0.93008405,0.11252067,0.82255423,0.9023735
5,0.084844954,0.8729594,0.9319894,0.11820372,0.8067265,0.8927508
6,0.07618859,0.87875205,0.9353355,0.111142084,0.8134119,0.89689565
7,0.0707045,0.8829762,0.9377284,0.10343438,0.82232726,0.90225554
8,0.067606896,0.8842935,0.93837446,0.109883964,0.8080312,0.8935651
9,0.06604229,0.8843324,0.93847054,0.099030696,0.8249162,0.9037822
10,0.06204348,0.88911563,0.9411822,0.10058552,0.82097805,0.90142155
11,0.059092548,0.89313984,0.94344443,0.097297385,0.8256965,0.90427107
12,0.059087884,0.89202166,0.942836,0.109807014,0.80410016,0.89120114
13,0.056314547,0.8963191,0.94521636,0.09634835,0.8260968,0.9045083
14,0.054731227,0.89860165,0.94651115,0.108517535,0.8057216,0.89214885
15,0.05397151,0.8995956,0.947052,0.092678286,0.8318522,0.9079515
16,0.052307997,0.90224475,0.9484931,0.10452893,0.81192875,0.8959351
17,0.050615493,0.9050393,0.9500805,0.10024824,0.8188462,0.9001583
18,0.050330125,0.90545213,0.9503009,0.11160905,0.8002537,0.88879114
19,0.049623307,0.90656084,0.9509186,0.1075171,0.8068511,0.89283854
20,0.049553197,0.906646,0.95094174,0.12955259,0.7716527,0.8708299
21,0.04950146,0.9066494,0.95097893,0.11398601,0.7963768,0.8864085
22,0.048815764,0.9078754,0.9516145,0.09550777,0.82654446,0.90477437
23,0.047721274,0.9097749,0.95267206,0.09506178,0.8272652,0.90517646
24,0.045620598,0.9135661,0.95476043,0.09173308,0.832733,0.9085204
25,0.04543581,0.91381174,0.954917,0.11176123,0.7998765,0.88854396
26,0.04425935,0.9159468,0.95608085,0.09837523,0.8217307,0.90188533
27,0.04288598,0.9185283,0.957449,0.09733766,0.82337385,0.90287334
28,0.040854372,0.9221801,0.9594786,0.09674667,0.82430494,0.9034486
29,0.03933812,0.92494166,0.96098095,0.09633395,0.8250165,0.90388787
30,0.040136084,0.9235213,0.9601897,0.095100716,0.82704145,0.9050882
31,0.03900622,0.9255605,0.9613046,0.096222095,0.8252295,0.9040059
32,0.03790521,0.92758685,0.96239996,0.09804462,0.82219994,0.9021835
33,0.0379614,0.9274997,0.9623527,0.0971741,0.8236008,0.9030168
34,0.03796727,0.9274749,0.96234125,0.09820758,0.82188326,0.90200144
35,0.037706774,0.9279488,0.9625978,0.0983821,0.8215953,0.9018162
