epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.99999845,1.5054902e-13,1.5054902e-13,0.9999986,1.39467e-13,1.39467e-13
1,0.99999845,1.5008634e-13,1.5008634e-13,0.9999986,1.39467e-13,1.39467e-13
2,0.99999833,1.4925631e-13,1.4925631e-13,0.9999986,1.39467e-13,1.39467e-13
3,0.4328539,0.47164303,0.5680887,0.15928221,0.7280793,0.84165925
4,0.12099436,0.78737515,0.87972474,0.116525,0.7939625,0.8839009
5,0.104755625,0.813086,0.8956609,0.13501991,0.7649632,0.8652783
6,0.09713382,0.8252331,0.9032301,0.10784867,0.80739814,0.89248013
7,0.0910228,0.835169,0.9092366,0.12676407,0.7769977,0.87345266
8,0.08763899,0.8408374,0.91260785,0.11447902,0.79700863,0.88578564
9,0.084536746,0.8458613,0.9156825,0.10212617,0.8170761,0.8980635
10,0.08116248,0.8514544,0.9190192,0.109643005,0.80459976,0.8905337
11,0.080852255,0.8519886,0.9193124,0.0957517,0.827102,0.9044047
12,0.07942567,0.8543348,0.9207145,0.11561803,0.7950686,0.884504
13,0.0799547,0.8538913,0.92019176,0.09678344,0.82542795,0.90340805
14,0.07403794,0.8635738,0.9260915,0.09202311,0.8332461,0.90807974
15,0.07396927,0.8637078,0.9261613,0.09832829,0.8235635,0.9018059
16,0.073364615,0.8646377,0.92674226,0.09105139,0.8348469,0.9090759
17,0.071493424,0.86778533,0.9286152,0.09326177,0.83147883,0.90683055
18,0.07461722,0.8629812,0.92549264,0.09581594,0.8272421,0.90427744
19,0.06931483,0.87153864,0.93077314,0.1071696,0.808156,0.89293224
20,0.0710329,0.8687373,0.92906153,0.116511896,0.7936883,0.88357
21,0.06949145,0.8717789,0.93059987,0.09733249,0.82444876,0.90275943
22,0.07014142,0.87053126,0.92994463,0.09456205,0.8292371,0.90551907
23,0.06965378,0.87108195,0.9304314,0.095218666,0.8281129,0.9048474
24,0.07037726,0.8699647,0.9297123,0.0950636,0.8282574,0.9050228
25,0.06458271,0.87974775,0.9354932,0.09288515,0.8319175,0.9071946
26,0.067001894,0.8758353,0.93306917,0.08915372,0.83823454,0.9109195
27,0.063389495,0.8820157,0.9366818,0.08796988,0.8402168,0.9121073
28,0.0631904,0.8823133,0.93688214,0.08749766,0.8409999,0.91257906
29,0.063064955,0.8825786,0.9370027,0.08728369,0.8413473,0.9127822
30,0.06257117,0.88376534,0.9374984,0.08720521,0.8414724,0.912863
31,0.06114045,0.8859455,0.93893206,0.08692449,0.8419781,0.9131567
32,0.061124247,0.8859822,0.9389457,0.08718489,0.8415534,0.9128989
33,0.059810825,0.88800114,0.94025654,0.08713306,0.8416428,0.91293967
34,0.060168274,0.8880107,0.9399023,0.087175205,0.8415647,0.9128988
35,0.06018393,0.8875972,0.93988717,0.08706244,0.84179765,0.91301954
36,0.058471512,0.89031655,0.941596,0.087092094,0.8417343,0.9129817
37,0.059630033,0.8884468,0.9404369,0.08714969,0.84165597,0.91292775
38,0.05930682,0.8891126,0.94076014,0.087124206,0.8417017,0.91295284
39,0.059396032,0.8888262,0.9406703,0.087238036,0.8415152,0.9128337
40,0.058666665,0.89006704,0.9414015,0.08698758,0.8419204,0.91307706
41,0.058775146,0.88985604,0.94129425,0.087089755,0.84177923,0.9129794
42,0.0597693,0.8887498,0.9402985,0.08735737,0.8413373,0.9127203
43,0.060140505,0.88774455,0.9399266,0.08713222,0.84170353,0.9129457
44,0.059016798,0.8896309,0.9410488,0.087687075,0.84077734,0.9123946
