epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.56770784,0.29073206,0.43574965,0.5115348,0.327942,0.49349722
1,0.28569523,0.56254864,0.716979,0.45489016,0.37685236,0.54629296
2,0.21142365,0.6557664,0.79012465,0.19653225,0.6732722,0.80444276
3,0.1676922,0.71638495,0.83346164,0.24927834,0.603294,0.75165683
4,0.1486859,0.74396247,0.85227954,0.17310986,0.7066217,0.8276454
5,0.14174879,0.7544937,0.85910183,0.17448007,0.70409346,0.82599676
6,0.12944038,0.77316296,0.8712236,0.14130375,0.7536895,0.8593118
7,0.1239621,0.78182817,0.8767192,0.18316859,0.6923858,0.81766737
8,0.120103076,0.7877599,0.880452,0.13654403,0.76071507,0.8637705
9,0.11281361,0.799297,0.88772535,0.1322454,0.7681249,0.8684509
10,0.11142124,0.80170816,0.8891072,0.19672188,0.67315763,0.80411685
11,0.109867394,0.8040104,0.89056903,0.13655224,0.76106286,0.8637963
