epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.26217943,0.62878287,0.744922,0.13214444,0.7689821,0.86905795
1,0.100086674,0.8202317,0.900998,0.10770123,0.8077374,0.8931277
2,0.08745324,0.8410073,0.9132683,0.102352664,0.81585884,0.89831114
3,0.08222874,0.8495393,0.91836315,0.100705676,0.8188822,0.89986193
4,0.0773291,0.8576138,0.92315626,0.10931048,0.80488133,0.89123
5,0.08153055,0.8506643,0.91903037,0.11124434,0.80127627,0.88908947
6,0.07448249,0.8623833,0.9258875,0.10754711,0.8068511,0.8928156
7,0.0740047,0.86324173,0.9264025,0.17396054,0.7226754,0.826409
8,0.07778738,0.8568758,0.9226531,0.100639835,0.81860834,0.89989305
9,0.076266214,0.85943204,0.92416203,0.13619947,0.76350784,0.86394745
10,0.06736128,0.874635,0.93296474,0.107837886,0.8076928,0.8924693
11,0.06778749,0.8738442,0.9325041,0.09414665,0.82874435,0.90617305
12,0.07145064,0.8675232,0.92889094,0.10477755,0.8112959,0.895635
13,0.0684941,0.8726615,0.9317707,0.094606966,0.8281056,0.90562433
14,0.06473591,0.87915367,0.9354936,0.09486283,0.82814074,0.9055037
15,0.06706362,0.8751107,0.93320113,0.091861166,0.8328129,0.908383
16,0.07239002,0.8658966,0.92791486,0.10256337,0.8153107,0.89776784
17,0.0673774,0.8744935,0.9328739,0.10549258,0.8101001,0.8947844
18,0.0683023,0.87302774,0.9319615,0.09961898,0.81981146,0.9006679
19,0.07017502,0.8696456,0.93010443,0.098268665,0.8222724,0.9021086
20,0.069449835,0.8709525,0.9308527,0.1008558,0.8178471,0.8994391
21,0.07373471,0.8637665,0.92658556,0.09619561,0.8255545,0.9040316
22,0.07042265,0.8693432,0.9298514,0.098191805,0.823287,0.9020378
23,0.06307773,0.8820833,0.9371473,0.096776284,0.8250607,0.90344363
24,0.060145903,0.8872434,0.94004416,0.10238524,0.81513166,0.8978399
25,0.059692595,0.8879351,0.94050795,0.11023449,0.8037582,0.88999283
26,0.05961194,0.88808054,0.94058764,0.101178676,0.8175806,0.8991806
