epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.5943606,0.3145694,0.4074276,0.2558509,0.60121834,0.7504408
1,0.1657183,0.72119504,0.83682275,0.16650312,0.7187533,0.8358086
2,0.12805498,0.7766826,0.8736996,0.1396388,0.7573873,0.8616567
3,0.12418737,0.7825322,0.87725085,0.11827507,0.7904502,0.8827637
4,0.10874272,0.8059859,0.892212,0.12047316,0.78686297,0.88045245
5,0.102175914,0.8166234,0.89863425,0.12192928,0.7851155,0.8794106
6,0.10521676,0.81175965,0.8955737,0.11783121,0.7907074,0.88283527
7,0.10434438,0.81311333,0.8964245,0.11284646,0.7988898,0.88798666
8,0.0947244,0.828679,0.9058742,0.11734195,0.7915811,0.8833797
9,0.0915525,0.8337461,0.90897185,0.121204704,0.78537905,0.87951833
10,0.08794642,0.83950883,0.9125391,0.12854268,0.77348197,0.8720062
11,0.08746091,0.84050727,0.9129862,0.102129094,0.8159153,0.8983983
12,0.08549853,0.8436621,0.9148834,0.10498329,0.81112325,0.89539164
13,0.09138244,0.8341569,0.9091185,0.10215648,0.8157338,0.8982415
14,0.08691914,0.8414441,0.91349334,0.11616764,0.7931606,0.88435537
15,0.10051934,0.8194634,0.8999646,0.109347686,0.8040014,0.89114624
16,0.08925347,0.8376226,0.91115475,0.10181368,0.81628007,0.89854664
17,0.08272722,0.84826064,0.91761446,0.10697669,0.8079248,0.8934746
18,0.08042481,0.852137,0.9198736,0.103597835,0.81302136,0.8966604
19,0.07767749,0.85691905,0.92261165,0.10538203,0.81033325,0.8949513
20,0.08003091,0.853059,0.92026246,0.09225746,0.8320228,0.9080197
21,0.07902061,0.85452944,0.9212623,0.10387895,0.81274337,0.89640355
22,0.07995348,0.8529928,0.920322,0.11289706,0.79826856,0.88760674
23,0.08294224,0.84801763,0.91734666,0.1455039,0.7478303,0.8554386
24,0.11343386,0.79912466,0.8869994,0.13774867,0.75886947,0.8626339
25,0.08715358,0.84081435,0.9131745,0.10380774,0.81287456,0.89651376
26,0.078680634,0.85502946,0.9216016,0.098177016,0.8220596,0.90206563
27,0.07815732,0.8562329,0.92210567,0.09769581,0.8228431,0.9025481
28,0.079109944,0.8544857,0.9211575,0.096658744,0.8245727,0.90360236
29,0.0752142,0.8609523,0.92503655,0.09663228,0.8246932,0.9036725
30,0.08358149,0.85239846,0.9166595,0.09717168,0.8237467,0.90310156
31,0.07569842,0.86026937,0.92455506,0.096461505,0.82500464,0.9038512
