epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.19599123,0.6929158,0.8082111,0.13107401,0.7707919,0.8701625
1,0.10242885,0.8166818,0.8986116,0.10480418,0.8126887,0.8961811
2,0.08539916,0.84455144,0.9153861,0.10071127,0.8185762,0.8998535
3,0.080976434,0.85180616,0.91960645,0.104996964,0.81159776,0.8955265
4,0.07383913,0.8640073,0.9267061,0.10406962,0.813175,0.89646196
5,0.075431,0.8611096,0.9250591,0.10365869,0.813348,0.8967032
6,0.07559556,0.8608069,0.9248745,0.103109285,0.8148012,0.8973972
7,0.07147435,0.8678924,0.92896426,0.10106977,0.81799185,0.8993814
8,0.070411496,0.8696931,0.93002754,0.09723869,0.82419676,0.9031901
9,0.06882857,0.8724357,0.93157715,0.09716022,0.8242531,0.9032529
10,0.06300138,0.88250446,0.9373379,0.09651634,0.82530886,0.9037847
11,0.064719446,0.8795802,0.93563557,0.10342981,0.8137407,0.89687973
12,0.06358317,0.8814317,0.93677413,0.10941542,0.80400825,0.8908718
13,0.061739944,0.8847449,0.9385796,0.09643567,0.82536095,0.9039213
14,0.059569374,0.88862514,0.94074434,0.09699126,0.82450974,0.9033493
15,0.06006969,0.8875952,0.940241,0.103779346,0.81326944,0.8965142
16,0.058544833,0.890223,0.9417278,0.09336967,0.83044225,0.9069013
17,0.057434525,0.8922397,0.9428108,0.10379373,0.8131411,0.8964428
18,0.058344748,0.89057124,0.9419205,0.09473035,0.8283277,0.90557325
19,0.05545959,0.8957275,0.944805,0.10140748,0.8173276,0.8989132
20,0.056576077,0.89373493,0.9436782,0.096953556,0.8247847,0.9033483
21,0.054456722,0.8974942,0.9457942,0.0908636,0.8348681,0.9094111
22,0.053992506,0.8983813,0.94625956,0.09316094,0.8307237,0.9071367
23,0.05591771,0.89486235,0.94433975,0.08938345,0.83695364,0.9108302
24,0.05841051,0.89050686,0.9418696,0.100248314,0.8191449,0.89998496
25,0.06706833,0.8754869,0.9332638,0.11030966,0.8027276,0.8900572
26,0.0594024,0.8886816,0.94084716,0.09037649,0.8353554,0.9098866
27,0.05356021,0.8993017,0.9466704,0.092374615,0.831972,0.90788335
28,0.05224743,0.9014664,0.94797534,0.09104383,0.8342329,0.90920484
29,0.050349932,0.9047546,0.94987315,0.093316,0.83041716,0.90688974
30,0.050613694,0.9043907,0.9496201,0.097314954,0.82379293,0.9029399
31,0.047816228,0.9093493,0.9524217,0.0899716,0.83612955,0.91027313
32,0.047505498,0.9099105,0.9527214,0.090220675,0.8356834,0.9100089
33,0.04751503,0.90992874,0.9527076,0.0888268,0.838012,0.91142505
34,0.047371928,0.9102304,0.9528535,0.090172485,0.8357291,0.91008157
35,0.04695931,0.91095245,0.9532598,0.09258722,0.8317054,0.90765196
36,0.04565141,0.9133455,0.954577,0.09355785,0.8300492,0.9066519
37,0.04509195,0.9142764,0.9551251,0.09069842,0.8349087,0.90951896
38,0.045565203,0.91351503,0.95465297,0.09311381,0.8309941,0.907114
39,0.04339307,0.9173935,0.95682144,0.09408332,0.829282,0.90612745
40,0.04406996,0.9161904,0.9561479,0.09612798,0.8258062,0.90406096
41,0.042483978,0.91902304,0.95773244,0.092589125,0.8317646,0.90760314
42,0.04153871,0.92075235,0.9586705,0.095718056,0.8264331,0.904445
43,0.042089712,0.91975,0.95811737,0.099520534,0.8200304,0.9006399
44,0.042263016,0.9196059,0.95795345,0.10003303,0.81920135,0.9001485
