epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.5249639,0.33188546,0.47929764,0.36632404,0.46587932,0.6349381
1,0.25266412,0.60129255,0.74913025,0.27349097,0.5727156,0.72808164
2,0.18586855,0.68988895,0.81586075,0.20469362,0.6634049,0.797598
3,0.15293644,0.73724586,0.84844136,0.14067896,0.7560857,0.86088425
4,0.12939237,0.7728763,0.87164843,0.13858087,0.7583455,0.8622924
5,0.14517844,0.74968284,0.8559394,0.15746441,0.7301291,0.84360695
6,0.14436056,0.75382334,0.8568284,0.12568295,0.7786265,0.8753907
7,0.12075578,0.7869982,0.88026094,0.15353265,0.7362715,0.84787905
8,0.10463915,0.8124107,0.8962863,0.1254441,0.77852064,0.875291
9,0.102971576,0.81508946,0.8978699,0.12501013,0.7802107,0.87634516
10,0.10955684,0.80443734,0.89126503,0.12924264,0.77247137,0.8713094
11,0.10200213,0.81646925,0.89870363,0.11614366,0.7934482,0.8846339
12,0.0926179,0.83186626,0.9080325,0.14151406,0.7536305,0.8592398
13,0.0933577,0.83049387,0.9072492,0.20553632,0.6599146,0.79490656
14,0.107173406,0.8084762,0.8935635,0.19167516,0.68035126,0.80959296
15,0.09598641,0.8263621,0.9046634,0.1300792,0.77137053,0.8705988
16,0.11164019,0.8028011,0.8890243,0.1092055,0.8045884,0.8914677
17,0.09046281,0.83520573,0.91002166,0.10437607,0.81225747,0.8962187
18,0.09080658,0.8345646,0.9096693,0.097942546,0.8230393,0.90269077
19,0.08902865,0.83764505,0.91145825,0.10261345,0.8150644,0.8979165
20,0.081995316,0.84941775,0.91843474,0.10288024,0.8146342,0.89759666
21,0.08859733,0.83862025,0.9118173,0.4342553,0.39489192,0.56581265
22,0.089015365,0.83791465,0.91140175,0.10138776,0.8170219,0.89901304
23,0.080898665,0.8510958,0.9194561,0.10970962,0.8034753,0.89082456
24,0.08350457,0.84668076,0.91680825,0.10378915,0.81326073,0.8967456
25,0.084826425,0.84443516,0.91549635,0.15965426,0.7268208,0.84085715
26,0.0999852,0.81934386,0.90042907,0.10519031,0.8110335,0.8952974
27,0.08682027,0.8412643,0.9135508,0.09832938,0.8222507,0.9021121
28,0.08181819,0.8495112,0.91852534,0.09581091,0.82644683,0.9046143
29,0.08008362,0.85254127,0.92024267,0.09475832,0.8281371,0.90563595
30,0.077494584,0.85694623,0.92282164,0.09365794,0.8299439,0.906716
31,0.0777621,0.8564974,0.92254925,0.09390184,0.8295151,0.90647006
32,0.07941095,0.8536671,0.92088234,0.093100056,0.83085626,0.9072824
33,0.07611236,0.8593448,0.9241984,0.093524486,0.8301342,0.9068503
34,0.075790025,0.8598617,0.9245134,0.093404494,0.83036166,0.9069899
35,0.07516105,0.86099404,0.92512786,0.093250416,0.83054984,0.90711063
36,0.07413607,0.86274236,0.9261595,0.09262973,0.831636,0.90775114
37,0.074480474,0.86216533,0.92581683,0.09312773,0.83076537,0.9072346
38,0.074470274,0.8621713,0.9258257,0.09302955,0.83087575,0.907305
39,0.07289981,0.8648851,0.9274022,0.09275774,0.8313864,0.9076027
40,0.072122686,0.8661025,0.9281672,0.092665814,0.83152586,0.9076927
41,0.07193052,0.8664636,0.92834073,0.09272598,0.8313695,0.9075992
42,0.073303536,0.8641163,0.9269893,0.09236538,0.8319603,0.9079525
43,0.072648816,0.8653141,0.927641,0.09266117,0.83147305,0.9076613
44,0.072650924,0.8652566,0.9276149,0.091925696,0.8327364,0.908409
