epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.5909995,0.49848017,0.61108226,0.3067553,0.7981379,0.88488764
1,0.24217471,0.8363071,0.9091071,0.1620825,0.8209449,0.8985827
2,0.13585529,0.86004364,0.9233106,0.12541696,0.823845,0.90105116
3,0.0979175,0.87146896,0.9301206,0.106763035,0.83392334,0.90712523
4,0.08388379,0.8747475,0.9319423,0.1044035,0.82846624,0.9033662
5,0.07369142,0.8814334,0.93593305,0.10607878,0.8206775,0.8987874
6,0.06804723,0.88501674,0.9379095,0.09924304,0.82868713,0.90392756
7,0.0632647,0.8893186,0.9405012,0.095583394,0.83308846,0.90645236
8,0.06036993,0.8928696,0.9422179,0.105616815,0.81505316,0.89577395
9,0.05876121,0.89409035,0.94304466,0.10315434,0.81937027,0.89784867
10,0.057781577,0.89475834,0.9434356,0.10158982,0.82082635,0.89901
11,0.057602327,0.894811,0.9432768,0.10086723,0.82154894,0.8996455
12,0.054822605,0.89864457,0.94580513,0.0993717,0.82404023,0.9009832
13,0.054008268,0.89997303,0.94643915,0.09669773,0.82828987,0.90354794
14,0.05239366,0.902448,0.94793046,0.09996127,0.82237935,0.90023094
