epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.67687553,0.20817503,0.34229115,0.80198497,0.10787775,0.19453053
1,0.5655385,0.2862693,0.44144025,0.5761869,0.2719067,0.42685047
2,0.4861238,0.35072583,0.51674694,0.62427264,0.23141123,0.37576005
3,0.4086278,0.42421854,0.59263694,0.66516626,0.20121965,0.33475825
4,0.3253153,0.51259655,0.6754035,0.76999867,0.13101389,0.23028797
5,0.2666279,0.5819057,0.73375124,0.36540675,0.46553296,0.6347737
6,0.22446424,0.63541156,0.7757642,0.25812066,0.59083855,0.7419915
7,0.20828125,0.6568232,0.7918658,0.26095375,0.58730143,0.73912495
8,0.1923565,0.67883694,0.80775446,0.31506607,0.52325696,0.6850414
9,0.18476623,0.68933207,0.8153169,0.17781071,0.69906497,0.822275
10,0.17378674,0.7053157,0.8262854,0.17921594,0.6966687,0.82086706
11,0.1603927,0.7249923,0.8396652,0.19247618,0.677582,0.80756503
12,0.15137038,0.7381896,0.8486784,0.15743935,0.72858334,0.84258914
13,0.15308075,0.7356843,0.8469694,0.20306168,0.66316813,0.79697526
14,0.14506243,0.7478104,0.8549871,0.35434058,0.47733867,0.6456051
15,0.14629836,0.74650025,0.8537453,0.4846503,0.34752926,0.51532227
16,0.13720423,0.75999755,0.86283684,0.22221418,0.6374218,0.77785647
17,0.12606515,0.7769168,0.8739763,0.30265188,0.53762037,0.6974345
18,0.12689462,0.7758594,0.8731405,0.20207192,0.6651568,0.7980173
19,0.1293174,0.77232325,0.8707096,0.16799834,0.71326345,0.8320482
20,0.12540096,0.7781266,0.8746269,0.13177769,0.7677451,0.86824393
21,0.12145629,0.784366,0.8785695,0.14400142,0.7490788,0.85603046
22,0.12382886,0.78070384,0.8762035,0.13647813,0.7603018,0.8635331
23,0.118949465,0.78825605,0.8810753,0.16670863,0.714993,0.83331
24,0.113656566,0.7965893,0.88636684,0.17244975,0.70626837,0.82754636
25,0.12067095,0.7854702,0.8793556,0.13451624,0.7633961,0.8655082
26,0.10812246,0.8057114,0.89190125,0.11694439,0.79108787,0.8830728
27,0.103404544,0.8131871,0.8966168,0.112328224,0.7984436,0.88768804
28,0.099053554,0.8202806,0.90096724,0.10941591,0.80320305,0.8906121
29,0.099310145,0.8200701,0.9007121,0.10806759,0.80538136,0.89194834
30,0.098911,0.8207377,0.9011136,0.107751474,0.80589306,0.8922659
31,0.09857572,0.8212282,0.90145165,0.107526354,0.8062524,0.89248717
32,0.09763231,0.8228626,0.9023914,0.10590725,0.8089314,0.8941079
33,0.09711438,0.82352376,0.9029097,0.106442645,0.8080303,0.89357644
34,0.09697195,0.8237464,0.9030494,0.10552972,0.8095363,0.89448863
35,0.09578833,0.8257244,0.90423715,0.10516022,0.81012934,0.8948585
36,0.09815708,0.8218259,0.90186596,0.10463137,0.811008,0.89538884
37,0.092635736,0.8309505,0.90738535,0.10493186,0.8105296,0.89508444
38,0.09424284,0.8284274,0.905781,0.10410602,0.8118804,0.89590937
39,0.09580611,0.8257847,0.9042174,0.103885375,0.81225073,0.896134
40,0.09466357,0.8276988,0.9053597,0.104217365,0.81171274,0.8958006
41,0.09554622,0.8263335,0.904478,0.10310136,0.81353927,0.89691967
42,0.09377949,0.82908595,0.90624475,0.10389327,0.8122344,0.8961192
43,0.09517468,0.82686704,0.9048519,0.10340602,0.81304634,0.8966132
44,0.09358943,0.82942975,0.90643144,0.1032705,0.81325924,0.89674896
