epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.3739412,0.5364964,0.676971,0.26023406,0.60488474,0.7533586
1,0.15939711,0.74682313,0.8540153,0.13149334,0.77734935,0.8744694
2,0.12461716,0.7870929,0.8801362,0.11596072,0.79646426,0.88637793
3,0.11070549,0.80516213,0.89143836,0.11590512,0.79482585,0.88525546
4,0.10506356,0.8125744,0.8960306,0.120596275,0.786326,0.8800058
5,0.10051116,0.81889534,0.90005124,0.10742102,0.8069776,0.8928543
6,0.100691214,0.8184579,0.8997593,0.10532703,0.8102716,0.89487606
7,0.09590839,0.82629293,0.9042913,0.12696718,0.77548313,0.87313116
8,0.09213115,0.83208704,0.90799433,0.10666491,0.8078603,0.89341193
9,0.09244917,0.8316812,0.90763515,0.10680807,0.8077543,0.893236
10,0.091758564,0.83288944,0.9082963,0.1310799,0.7688732,0.8689637
11,0.08815825,0.8385816,0.91188395,0.10140189,0.8164041,0.8986282
12,0.08696602,0.8406206,0.9130691,0.10445948,0.81147325,0.89556974
13,0.08547226,0.8431858,0.9145586,0.10171967,0.8160745,0.89830035
14,0.08835723,0.8395746,0.91161716,0.10203336,0.8154478,0.89798456
15,0.082499765,0.84831583,0.9175329,0.1040081,0.8121701,0.8960152
16,0.08338624,0.84677696,0.91663694,0.11885146,0.78818184,0.88117766
17,0.08322682,0.84693927,0.9167953,0.09279183,0.8307404,0.90723115
18,0.08230073,0.8487333,0.9177205,0.17085814,0.7089793,0.829164
19,0.08283324,0.84755504,0.9171861,0.09813903,0.8220002,0.90188897
20,0.07922363,0.85374975,0.920794,0.10873999,0.8045007,0.89127946
21,0.07553843,0.8599395,0.9244755,0.10162146,0.8162174,0.8983949
22,0.07931471,0.85369724,0.9206975,0.09635094,0.82478255,0.9036569
23,0.07455676,0.86174554,0.92545825,0.09256074,0.83121556,0.9074474
24,0.078638084,0.8547907,0.9213741,0.11104859,0.8009453,0.8889624
25,0.07836792,0.85515314,0.92164165,0.09823271,0.82177675,0.9017737
26,0.074483015,0.8618921,0.92552394,0.09641983,0.8248025,0.9035901
27,0.07141851,0.8672072,0.92859,0.09593862,0.8256193,0.9040715
28,0.072310425,0.86556846,0.927698,0.09557275,0.82622594,0.9044353
29,0.070881106,0.86811686,0.92912686,0.095822625,0.8258194,0.9041861
30,0.06977546,0.87000567,0.9302335,0.094967626,0.82724094,0.9050359
31,0.07132029,0.86724997,0.928689,0.09538235,0.82653767,0.9046237
32,0.070972525,0.8680475,0.92903674,0.09483179,0.8274504,0.9051816
33,0.06791432,0.87314856,0.93209416,0.09478199,0.8275649,0.90522873
34,0.06803152,0.8729228,0.93197525,0.09501832,0.8271584,0.9049898
35,0.06897388,0.8713305,0.9310339,0.09479653,0.82755387,0.90521127
36,0.06920039,0.87095505,0.9308075,0.09428603,0.82837564,0.9057241
37,0.06978731,0.8700083,0.93022007,0.09338745,0.8298697,0.9066212
38,0.06803688,0.8730364,0.9319733,0.094903745,0.8273537,0.90510815
39,0.067926526,0.87322205,0.9320826,0.09409173,0.8287312,0.9059267
40,0.067859255,0.87342685,0.9321493,0.09506887,0.82709867,0.9049412
41,0.068400756,0.8724282,0.9316061,0.093754776,0.82925934,0.90625083
42,0.06861357,0.8719232,0.9313951,0.09299828,0.8305205,0.9070109
43,0.068045035,0.87296194,0.9319657,0.09332814,0.82996696,0.9066767
44,0.06809739,0.872913,0.9319112,0.09397901,0.82891124,0.90603375
