epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.6171974,0.5354583,0.67842495,0.49247393,0.6996948,0.8226795
1,0.51648194,0.723715,0.83808374,0.43935987,0.7338401,0.84568423
2,0.44734308,0.7771258,0.8735852,0.37124783,0.78878254,0.88118416
3,0.38815403,0.80144477,0.88893974,0.3217364,0.79909927,0.88756853
4,0.3297987,0.8240804,0.9028645,0.27403888,0.80746573,0.8928297
5,0.27583408,0.839245,0.91205746,0.22806843,0.827055,0.9048039
6,0.22721794,0.84609276,0.91601455,0.19520877,0.82233506,0.90194196
7,0.18469264,0.86082375,0.9247966,0.16612267,0.82729965,0.90493774
8,0.15730792,0.8618214,0.9253239,0.15037082,0.82567114,0.90384847
9,0.13229927,0.86855173,0.92932343,0.13566083,0.82786995,0.90530425
10,0.11643507,0.87111664,0.9307745,0.12524597,0.8278668,0.9052198
11,0.10319587,0.8750263,0.9331009,0.12127811,0.8224169,0.9019768
12,0.09284094,0.8770096,0.93419516,0.120559715,0.81376576,0.89662343
13,0.08569034,0.8777846,0.93459964,0.111523196,0.8210384,0.901128
14,0.077470936,0.882424,0.9372704,0.10125977,0.8327701,0.90823656
15,0.07286138,0.884237,0.93824357,0.10396588,0.824216,0.90313154
16,0.07278459,0.8792932,0.93543655,0.099070475,0.8292967,0.9061237
17,0.06516307,0.8887379,0.9407533,0.09944267,0.82629025,0.9042571
18,0.06541831,0.88551784,0.9388865,0.10222557,0.81997526,0.9005068
19,0.062339354,0.8889831,0.9408336,0.102643915,0.81837046,0.8993717
20,0.057375927,0.895953,0.94494814,0.10051841,0.8204563,0.90094244
21,0.058390375,0.89323443,0.94328976,0.103152096,0.81565493,0.897873
22,0.057446413,0.893964,0.94377136,0.108293526,0.80673283,0.89248294
23,0.057103023,0.8940026,0.94379735,0.09627457,0.8262216,0.9042771
24,0.05598908,0.8955534,0.94464517,0.0961633,0.82611996,0.90423465
25,0.054524854,0.8979629,0.94594276,0.09918763,0.8208733,0.9010966
26,0.048917077,0.90777576,0.95148176,0.09592225,0.82641226,0.904366
27,0.04769728,0.91014326,0.95267355,0.09462426,0.82849175,0.9056467
