epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.53911614,0.34433728,0.4985685,0.5125048,0.33318514,0.4985061
1,0.30305707,0.55169433,0.7089786,0.3503404,0.49177906,0.65835696
2,0.2712462,0.58180195,0.73284674,0.47254452,0.36177826,0.52873105
3,0.30646685,0.5369621,0.69538194,0.23384537,0.62262344,0.76705545
4,0.26197472,0.5890023,0.7391112,0.24618141,0.60587525,0.75418204
5,0.22470884,0.63914937,0.7759452,0.59344757,0.25743866,0.40723586
6,0.23381934,0.6289072,0.7666324,0.21620451,0.64534134,0.7840108
7,0.19266868,0.6787923,0.80763555,0.25565132,0.59339464,0.74441427
8,0.182287,0.6932652,0.8179182,0.31133968,0.52797645,0.6887462
9,0.20976983,0.65618813,0.7904132,0.26062313,0.5877036,0.7395758
10,0.26352724,0.5914934,0.7366775,0.21568455,0.64599067,0.78438145
11,0.18761179,0.68556285,0.81251466,0.4383425,0.39127845,0.5617057
12,0.20181441,0.6667785,0.79831547,0.17503263,0.7026351,0.82502556
13,0.1636178,0.71998703,0.8364983,0.1610101,0.7231512,0.8390363
14,0.16050886,0.72563237,0.8395987,0.23127519,0.6252767,0.7687482
15,0.1544689,0.7336293,0.8456311,0.1497221,0.7401503,0.85034937
16,0.16314052,0.72170657,0.8369377,0.25031132,0.6003722,0.7496925
17,0.1621301,0.7227803,0.8379443,0.15797727,0.72776777,0.8420455
18,0.15993954,0.7266242,0.8401272,0.5774387,0.27179462,0.42275503
19,0.17571923,0.7036546,0.8243489,0.17324138,0.70514137,0.8267345
20,0.14267668,0.75134337,0.85737896,0.168555,0.7127608,0.8314736
21,0.13487676,0.7633999,0.86523366,0.1803648,0.69556504,0.8197207
22,0.1314312,0.769392,0.86862427,0.14624368,0.7453578,0.8537442
23,0.16121715,0.72745484,0.8388403,0.24680418,0.60556865,0.7532103
24,0.13386661,0.7647667,0.8661869,0.13968994,0.75538313,0.8603571
25,0.12185871,0.78337055,0.8781907,0.12874895,0.77232087,0.87127376
26,0.11641799,0.79208785,0.88362616,0.12523289,0.7779197,0.87479854
27,0.117357045,0.79073966,0.8826867,0.12425898,0.7794854,0.87576324
28,0.11356454,0.7966913,0.88647586,0.123824604,0.78015494,0.87620336
29,0.10797596,0.8056463,0.89206076,0.124785736,0.77865875,0.87524605
30,0.110224284,0.80227435,0.8898184,0.123093046,0.7813072,0.8769381
31,0.1083916,0.8053536,0.8916529,0.123415105,0.78078943,0.87661654
32,0.10622897,0.8084826,0.8938143,0.12649879,0.7759364,0.87351733
33,0.10947359,0.8032393,0.89057016,0.12750524,0.7743521,0.87250745
34,0.10527084,0.8100066,0.89477116,0.12554756,0.7774612,0.87448066
35,0.10729619,0.8069083,0.8927478,0.12274995,0.7818499,0.8772767
36,0.107561424,0.80651397,0.8924797,0.12883544,0.7722397,0.8711666
37,0.10617846,0.8086441,0.8938687,0.12412834,0.77967453,0.8759005
38,0.10373428,0.8126691,0.8963115,0.123742245,0.780295,0.8762761
39,0.105700046,0.80956197,0.894343,0.12366699,0.7804038,0.8763451
40,0.105016366,0.81051314,0.8950311,0.12271397,0.7819457,0.87731487
41,0.1071437,0.8072364,0.89290005,0.12033244,0.78571194,0.87970245
42,0.10792508,0.8060645,0.89212495,0.124806784,0.7785716,0.87520254
43,0.10393979,0.8123404,0.89610916,0.121157154,0.78437763,0.8788675
44,0.10399279,0.8122595,0.8960445,0.12360947,0.7804853,0.87641495
