epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.57128334,0.325958,0.479104,0.5123596,0.3378897,0.50482124
1,0.33280075,0.5275254,0.6884589,0.27736214,0.57769305,0.73209196
2,0.2646513,0.59358114,0.7436263,0.28986934,0.55651987,0.7144386
3,0.26017126,0.5943355,0.74390996,0.2863952,0.55756676,0.71560603
4,0.20742373,0.66090775,0.79502106,0.22277194,0.63791263,0.7786206
5,0.185304,0.69005185,0.8162289,0.18571848,0.6883526,0.81511515
6,0.1725157,0.7081686,0.8284472,0.24314305,0.60999167,0.75734574
7,0.16405907,0.72032076,0.8365946,0.21048191,0.6530148,0.7898397
8,0.15510769,0.7328749,0.84533733,0.22924826,0.6283494,0.7712697
9,0.15437767,0.7345031,0.8459756,0.14029977,0.7546238,0.85986984
10,0.13614404,0.7615628,0.86410195,0.24383976,0.60861063,0.75644267
11,0.14592806,0.74649656,0.8542705,0.26106223,0.5864259,0.73898566
12,0.13377565,0.7650368,0.86638707,0.15428253,0.7333253,0.84583426
13,0.122774884,0.7820984,0.8773429,0.14095622,0.75350744,0.85912234
14,0.12448672,0.7794586,0.8756095,0.21658567,0.6458602,0.7835564
15,0.13927217,0.75786835,0.860821,0.16714804,0.7145232,0.8331537
16,0.14598343,0.74669236,0.85411984,0.21720359,0.6436243,0.78277487
17,0.12494388,0.77877486,0.87512827,0.14480382,0.74775344,0.85523474
18,0.121256515,0.7845539,0.87880903,0.13298537,0.76574033,0.8670264
19,0.121936604,0.7835681,0.87812245,0.12268191,0.78188527,0.8773678
20,0.11414305,0.79576766,0.88590753,0.16078034,0.723646,0.83927536
21,0.1239436,0.7805815,0.87610924,0.13596289,0.7609578,0.86411005
22,0.1187358,0.78851503,0.8813158,0.13690254,0.759696,0.8631044
23,0.10866913,0.80449086,0.8913705,0.13956514,0.75554657,0.86045116
24,0.1045746,0.8111804,0.8954645,0.115872376,0.79273146,0.88416415
25,0.10982415,0.80283564,0.8902179,0.14252448,0.75099206,0.85750043
26,0.10563946,0.80939734,0.8944022,0.12113064,0.7845537,0.878942
27,0.10327007,0.8132433,0.8967693,0.11609838,0.7925134,0.88395953
28,0.1003972,0.81786585,0.8996418,0.11319477,0.79720014,0.88685614
29,0.100956656,0.81708646,0.89908516,0.11255214,0.7982515,0.8874993
30,0.09998573,0.81867075,0.90005016,0.11243976,0.7984391,0.88760316
31,0.098608404,0.82105535,0.9014261,0.110474184,0.80155337,0.88957334
32,0.09904585,0.82038707,0.9009919,0.10982882,0.80259264,0.89020795
33,0.09696916,0.8236248,0.903065,0.10941445,0.8032687,0.8906348
34,0.0967569,0.82396287,0.9032812,0.10913289,0.803748,0.8909073
35,0.09522082,0.82669204,0.9048158,0.10849283,0.8047792,0.8915436
36,0.09535564,0.82633096,0.9046794,0.109210834,0.80365837,0.890834
37,0.09268875,0.83065635,0.9073455,0.10888538,0.8041424,0.8911457
38,0.094158754,0.8283265,0.9058755,0.10793516,0.80565876,0.89209795
39,0.09323009,0.8299918,0.90680295,0.108297035,0.80512136,0.8917328
40,0.09213348,0.8317349,0.9078988,0.10743926,0.8064882,0.89260423
41,0.09209836,0.8317871,0.9079398,0.10745727,0.8064629,0.89258444
42,0.09137023,0.8329122,0.90866375,0.10662718,0.8077956,0.89340866
43,0.09163058,0.8324832,0.90840435,0.10819464,0.80526626,0.8918497
44,0.09369493,0.8292217,0.90633506,0.10692407,0.807327,0.8931153
