epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.24029605,0.64154446,0.76724654,0.1428852,0.75264686,0.8573097
1,0.12479012,0.7811932,0.875421,0.123265296,0.78312445,0.8767554
2,0.11197113,0.80126476,0.8880788,0.16835839,0.71392936,0.83167595
3,0.10892876,0.80640405,0.89109546,0.10978635,0.8041909,0.8902385
4,0.101770744,0.8184796,0.8982502,0.13513167,0.7645853,0.86487186
5,0.09726368,0.8249297,0.9027532,0.10158856,0.8177521,0.89842725
6,0.09963782,0.8211326,0.9003776,0.10930156,0.80527335,0.8907038
7,0.09084862,0.83586484,0.9091647,0.10536739,0.8117801,0.89464545
8,0.095716804,0.827786,0.9042964,0.11830158,0.7906997,0.88170975
9,0.08995687,0.8369508,0.91005546,0.10210925,0.81680316,0.8978999
10,0.0874499,0.8408752,0.9125629,0.101587206,0.8179281,0.89842486
11,0.08643102,0.8428382,0.913579,0.09707892,0.825399,0.9029293
12,0.08301124,0.8483929,0.9169982,0.12903665,0.77363926,0.8709757
13,0.08470132,0.84593374,0.91530824,0.1035574,0.8148021,0.8964546
14,0.08704685,0.8418551,0.91296095,0.120861694,0.7865909,0.8791461
15,0.08193776,0.85050863,0.9180706,0.10082379,0.81893015,0.8991841
16,0.079051726,0.854964,0.9209559,0.12206623,0.7842369,0.8779402
17,0.08155703,0.8515649,0.9184484,0.11601152,0.7952746,0.88399434
18,0.07804177,0.8569971,0.9219644,0.104268655,0.8136127,0.89573395
19,0.07916069,0.85541075,0.9208456,0.10125159,0.81860447,0.89875257
20,0.077678725,0.8577088,0.9223292,0.10220181,0.81633973,0.89780205
21,0.0765484,0.8595278,0.9234582,0.09991393,0.820872,0.9000929
22,0.075669035,0.86074525,0.92433774,0.09629306,0.82664245,0.9037134
23,0.07843347,0.85650796,0.92157173,0.09438233,0.82972115,0.905626
24,0.075085245,0.86211985,0.92492247,0.11263143,0.7998627,0.88737726
25,0.07255652,0.8663831,0.9274495,0.09347181,0.8312714,0.9065312
26,0.07139264,0.868756,0.9286124,0.0913017,0.8347713,0.908704
27,0.06839047,0.8738069,0.9316149,0.0908594,0.83544874,0.90914536
28,0.06871698,0.87312514,0.9312893,0.09103565,0.83512485,0.90897214
29,0.068447635,0.87350786,0.9315579,0.09089538,0.8353529,0.90911144
30,0.06682256,0.87619233,0.933183,0.09122978,0.83472276,0.90877795
31,0.06694763,0.87598354,0.9330589,0.091452315,0.83433056,0.90855426
32,0.066979975,0.87572175,0.93302524,0.09106409,0.8349995,0.90894336
33,0.067193195,0.8753532,0.9328122,0.091708355,0.8339093,0.9082957
34,0.06530814,0.87863845,0.934698,0.09174227,0.833841,0.90826535
35,0.06883445,0.8733541,0.931171,0.09154085,0.83418405,0.9084656
36,0.06656543,0.87668514,0.9334405,0.09167156,0.8339663,0.90833366
37,0.06902788,0.87273186,0.9309789,0.09188805,0.83359456,0.9081154
38,0.06789997,0.8744764,0.93210554,0.09116463,0.8348307,0.9088395
