epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.47936672,0.5415502,0.6844669,0.36246073,0.50324094,0.6683185
1,0.25433248,0.63348645,0.7731822,0.184881,0.7030178,0.8251647
2,0.22588243,0.64466476,0.78043944,0.19412632,0.68040407,0.80936784
3,0.36183184,0.47764793,0.64049935,0.3833613,0.44813648,0.61795753
4,0.4407036,0.39418218,0.5607467,0.35638875,0.4774534,0.64493716
5,0.40142816,0.43250346,0.59975773,0.3450892,0.48894662,0.65589184
6,0.3928649,0.44136614,0.6080383,0.29511562,0.54710436,0.70576066
7,0.323636,0.51483107,0.67710364,0.24966176,0.6031205,0.75070536
8,0.2916817,0.55163205,0.7088752,0.23128745,0.625607,0.7690074
9,0.2781149,0.5677938,0.72236204,0.25509742,0.5947565,0.74521786
10,0.27080992,0.57685965,0.7295825,0.24269497,0.6113437,0.7575973
11,0.28268075,0.5624319,0.71770376,0.2416511,0.6119599,0.75863683
12,0.25163734,0.60048634,0.74865556,0.21433097,0.6484653,0.7858899
