epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.38766125,0.47943744,0.6269516,0.29970858,0.5534301,0.7121364
1,0.20228568,0.66882634,0.79937166,0.17127027,0.7103079,0.8300915
2,0.16228501,0.72356874,0.8382619,0.29510483,0.5468049,0.705193
3,0.15683895,0.7320852,0.8434609,0.18158492,0.69412434,0.8188019
4,0.12976402,0.7714726,0.87042683,0.13571446,0.76222116,0.8643954
5,0.11864355,0.789028,0.8814735,0.14290352,0.75092095,0.85712606
6,0.13370901,0.76702523,0.86638945,0.14403069,0.7492027,0.8560083
7,0.1292896,0.7727886,0.87079126,0.1603846,0.7249225,0.83979976
8,0.11213474,0.7992486,0.8879328,0.11742918,0.7909608,0.8826446
9,0.11537761,0.7959517,0.8846794,0.35103342,0.48158395,0.649066
10,0.105002776,0.81086284,0.89505434,0.120676175,0.7856797,0.8793544
11,0.100508854,0.818198,0.8995412,0.12346307,0.7812001,0.8765509
12,0.100563765,0.81871146,0.89947915,0.118676744,0.78872323,0.88135076
13,0.10064608,0.81872207,0.8993971,0.39577708,0.4348469,0.6042806
14,0.11122104,0.8016377,0.8888219,0.16702567,0.7217551,0.8377512
15,0.096504144,0.82547307,0.90353495,0.122620665,0.7824093,0.87740284
16,0.09462472,0.8279556,0.90540755,0.12867415,0.7728231,0.8713442
17,0.09043814,0.83489627,0.9095928,0.15039182,0.7394124,0.84969354
18,0.09471574,0.82789457,0.9053388,0.32671016,0.51094717,0.67546767
19,0.09207279,0.83271855,0.90796226,0.119525634,0.78723466,0.8805566
