epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.42026693,0.53021497,0.67761016,0.43882328,0.404142,0.5737968
1,0.24747592,0.6198187,0.76260936,0.19215825,0.68416435,0.8114487
2,0.18646595,0.6929594,0.8162583,0.13695836,0.7628235,0.8642553
3,0.45890072,0.39668557,0.54195535,0.7663033,0.13243908,0.23366293
4,0.5478977,0.29852858,0.45272663,0.48471686,0.35342136,0.51791537
5,0.44961298,0.3866991,0.5509551,0.30339462,0.5376906,0.69696856
6,0.3904096,0.4442628,0.60998607,0.2794157,0.56527483,0.7208225
7,0.35417423,0.4822962,0.64616364,0.28839013,0.55472565,0.7119361
8,0.32069585,0.519066,0.6795513,0.28776205,0.5556821,0.7124519
9,0.3131396,0.527819,0.68708545,0.32477722,0.5127631,0.6753626
10,0.3117887,0.5293083,0.68838024,0.2487129,0.60394084,0.75146216
11,0.29611918,0.5470713,0.7040293,0.27978352,0.5646131,0.7202682
12,0.27455866,0.5733229,0.7256076,0.2115354,0.6525826,0.7885182
13,0.24616905,0.6082308,0.75394803,0.20409465,0.6628249,0.79600585
