epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.4159065,0.62352,0.7517661,0.23529962,0.75424933,0.8591687
1,0.19043335,0.8010513,0.8884052,0.15532032,0.7877814,0.8806251
2,0.12614143,0.8309534,0.90709823,0.12346153,0.80753654,0.8931542
3,0.10634284,0.83211154,0.9076251,0.104820386,0.8225278,0.9021028
4,0.091165476,0.844305,0.91501963,0.10025562,0.8232288,0.9025617
5,0.082856946,0.8523706,0.91986305,0.10792605,0.80820936,0.89335376
6,0.080354884,0.8541538,0.92085046,0.13317746,0.7665973,0.8674207
7,0.07571651,0.8609217,0.92484707,0.09679594,0.8246946,0.9035044
8,0.07483068,0.86197054,0.92544395,0.095709,0.826205,0.9044552
9,0.07268736,0.8654031,0.92745984,0.09165434,0.83311534,0.90844244
10,0.072875775,0.86508375,0.927221,0.08973126,0.83620137,0.91033083
11,0.07313614,0.86481786,0.92693084,0.09184103,0.83273757,0.90820396
12,0.06917935,0.871467,0.9308729,0.099581726,0.8196267,0.90045613
13,0.07113421,0.86815655,0.9289115,0.094674684,0.8277647,0.9053683
14,0.06917389,0.8715294,0.93086696,0.09680181,0.8243899,0.9032299
15,0.06703364,0.8751488,0.9330037,0.101341754,0.816713,0.898694
16,0.0672542,0.87485737,0.932782,0.10829795,0.8056047,0.8917347
17,0.06376227,0.8810223,0.93627125,0.09968038,0.8196859,0.9004831
18,0.06400856,0.880405,0.93602175,0.10090774,0.8174559,0.8991144
19,0.06333137,0.8816642,0.93670017,0.093342945,0.83022857,0.9066864
20,0.061179183,0.8855337,0.93884885,0.10331135,0.8134079,0.896716
21,0.06765228,0.8741971,0.93237454,0.103418596,0.81346023,0.8966042
