epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.55141467,0.57327217,0.7154183,0.4365066,0.6530052,0.7894353
1,0.40806174,0.74130774,0.8505115,0.32791078,0.7495519,0.8560836
2,0.3083183,0.798403,0.8873205,0.2597289,0.78316295,0.8776936
3,0.2427363,0.8253938,0.9040338,0.21268073,0.7867946,0.88020194
4,0.19879676,0.833261,0.9085537,0.18475267,0.7956107,0.88581675
5,0.15765612,0.84227735,0.9139106,0.14968774,0.81314325,0.8966672
6,0.12667511,0.85453004,0.92129934,0.16439414,0.7678218,0.86838835
7,0.11165387,0.85814494,0.9233265,0.124043375,0.81613487,0.8984111
8,0.09943933,0.8618072,0.92553467,0.11660744,0.81777143,0.899377
9,0.09058847,0.8647439,0.9271971,0.11093821,0.8202621,0.9008415
10,0.08502538,0.86548173,0.9277011,0.108981445,0.8170038,0.8989514
11,0.076931,0.8728076,0.93186074,0.10749746,0.81607723,0.8982834
12,0.07246712,0.87619185,0.93373835,0.0953828,0.833514,0.9088055
13,0.07459189,0.86953235,0.9299504,0.09419072,0.83350664,0.90886164
14,0.07109711,0.873236,0.93210715,0.12413287,0.78365445,0.8778245
15,0.071111746,0.87180775,0.931197,0.09411988,0.83100605,0.9074228
16,0.068632826,0.8748727,0.9330131,0.0980018,0.82393223,0.9029554
17,0.062381394,0.8848387,0.9387732,0.114268474,0.7967972,0.88648796
18,0.06608368,0.8778121,0.9347396,0.09154862,0.8338894,0.90900314
19,0.06293175,0.88298446,0.93766075,0.09462954,0.8283847,0.9057209
20,0.0625792,0.88324594,0.9378763,0.10477632,0.81153226,0.8955151
21,0.060834825,0.8862044,0.939494,0.09714173,0.8241509,0.9030914
22,0.06286984,0.88243824,0.9373713,0.08830491,0.8384725,0.91185874
23,0.060977634,0.8856468,0.93920743,0.10101877,0.81719935,0.89912635
24,0.062149875,0.8834716,0.9379983,0.094656184,0.82777435,0.90545785
25,0.05952212,0.88819355,0.94059473,0.11185859,0.79940075,0.88823783
26,0.054829247,0.896373,0.9452802,0.1021963,0.8151616,0.8978914
27,0.054370128,0.8972931,0.94573516,0.100400664,0.81811094,0.8996954
28,0.054032907,0.8979296,0.94606906,0.10229267,0.81505406,0.89780915
29,0.053440038,0.8989784,0.9466584,0.0994782,0.8195534,0.9006263
30,0.051657345,0.9021416,0.9484388,0.10366088,0.8126367,0.8964282
31,0.05339304,0.8991473,0.9467022,0.0990047,0.8202524,0.9010649
32,0.053291567,0.89925635,0.9468004,0.100359015,0.81811196,0.89971566
33,0.051890183,0.9017541,0.94820046,0.09761164,0.8226191,0.90247744
