epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.7718737,0.14064984,0.24534497,0.74122995,0.16610554,0.28457242
1,0.69321215,0.21609056,0.354075,0.6212364,0.27455416,0.4298059
2,0.61680853,0.26187694,0.41400012,0.5655571,0.299204,0.4590611
3,0.5727,0.28934833,0.44782734,0.5359447,0.31611273,0.47849235
4,0.54230237,0.31126565,0.47360912,0.5130693,0.33250102,0.49719864
5,0.5170433,0.3314902,0.4968067,0.49575368,0.34543008,0.51178265
6,0.4950986,0.35041732,0.5176522,0.48219717,0.35640064,0.5240317
7,0.479511,0.36404026,0.53242224,0.46970826,0.3672377,0.5358576
8,0.46024996,0.3821593,0.55154496,0.45305762,0.38311616,0.5526512
9,0.44132206,0.40024716,0.57031286,0.43204555,0.40439472,0.57461363
10,0.42811978,0.41408604,0.5840147,0.4194076,0.41657484,0.58693945
11,0.41149753,0.43068114,0.6005889,0.40111783,0.4358631,0.6059188
12,0.3980248,0.44553405,0.6146894,0.38275728,0.45561975,0.6248597
13,0.38794613,0.45635885,0.6251918,0.36789656,0.4727666,0.64081484
14,0.37348872,0.4730233,0.64050055,0.3539944,0.4897358,0.65626657
15,0.3597837,0.48816282,0.6544351,0.33661997,0.50995314,0.6741583
16,0.34839532,0.5018592,0.6660838,0.32699382,0.5212601,0.6839382
17,0.33302718,0.51969945,0.68211424,0.31676003,0.5332146,0.69409823
18,0.32540908,0.5284643,0.68973666,0.3041164,0.5497646,0.70800465
19,0.31333047,0.54294425,0.70204765,0.29201937,0.5646566,0.7202168
20,0.3064186,0.55170584,0.7092139,0.280656,0.57881546,0.73164314
21,0.30141264,0.5571699,0.71345025,0.2758201,0.58448774,0.7361554
22,0.28932974,0.5722386,0.72607744,0.2700716,0.59057885,0.74089193
23,0.281193,0.5819481,0.73400486,0.2613519,0.6027455,0.7504295
24,0.27921668,0.58424574,0.73552483,0.25469676,0.6104421,0.75639695
25,0.2678434,0.59773594,0.74656814,0.24236852,0.6274338,0.7693949
26,0.26021567,0.6068823,0.75386477,0.23847617,0.6316297,0.7725056
27,0.26073658,0.6052841,0.75221974,0.23687617,0.63297147,0.7735809
28,0.24975058,0.6192787,0.7632724,0.23228794,0.63890976,0.77804285
29,0.24648842,0.6232259,0.7661936,0.22623223,0.6468294,0.78400534
30,0.24166928,0.629366,0.7708938,0.23235892,0.6379784,0.7773813
31,0.2389139,0.6319713,0.77278775,0.22128367,0.65303004,0.7886103
32,0.23614125,0.6356937,0.77538973,0.22101383,0.6519,0.7877941
33,0.22975111,0.64305645,0.78124344,0.21352904,0.66299635,0.79599094
34,0.23109592,0.6412814,0.77957535,0.20852527,0.66921645,0.80059993
35,0.22900535,0.64307594,0.78128254,0.206749,0.67157525,0.8022684
36,0.22077821,0.6541036,0.78928393,0.20547153,0.6732963,0.8035289
37,0.21829373,0.65727913,0.7917874,0.20455942,0.6733772,0.80360806
38,0.2173423,0.6575108,0.7920325,0.20057984,0.67866284,0.80741245
39,0.21704893,0.6572457,0.79184484,0.20055418,0.67864114,0.8074402
40,0.21258865,0.6635606,0.79638237,0.20286174,0.6750098,0.8047844
41,0.20920251,0.667721,0.7993585,0.19419424,0.68773896,0.81390977
42,0.20852572,0.6681188,0.7996882,0.19563007,0.68533206,0.81223524
43,0.20472147,0.67336357,0.80347055,0.19376433,0.6876268,0.8138484
44,0.20228489,0.6764757,0.8056242,0.19674882,0.6828351,0.8104177
