epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.43527085,0.43430868,0.5900029,0.23364459,0.64874953,0.78378403
1,0.25035214,0.6149681,0.76128954,0.17991357,0.70728564,0.826172
2,0.20219241,0.6767972,0.80700696,0.1582949,0.7378837,0.84769696
3,0.18241696,0.70242244,0.82490385,0.14578637,0.75505215,0.85894704
4,0.1574798,0.73775905,0.848971,0.1454841,0.75462925,0.8592831
5,0.14079475,0.7621976,0.86493456,0.1775814,0.70949507,0.82955
6,0.13856505,0.7649197,0.8666433,0.12236766,0.7889975,0.8808516
7,0.13098796,0.77611834,0.8738414,0.11904813,0.79300153,0.88370275
8,0.12060605,0.791682,0.88363016,0.116591275,0.79564136,0.88589543
9,0.118146636,0.7946839,0.88550216,0.11015489,0.80615896,0.89227796
10,0.110929646,0.8059733,0.8925177,0.1856997,0.69162434,0.8176567
11,0.107731804,0.8111506,0.8956527,0.12179963,0.7869946,0.8804384
12,0.107252516,0.8113204,0.8957371,0.122951046,0.78482336,0.879364
13,0.10361136,0.8169899,0.89921296,0.122665405,0.7855265,0.8794242
14,0.10886795,0.8086199,0.8940808,0.111145556,0.8040914,0.89112645
15,0.10440321,0.8154809,0.8982946,0.12951542,0.77393484,0.8724648
16,0.10361657,0.81667185,0.8989963,0.11836837,0.7922579,0.88377935
17,0.09785,0.8261665,0.9047279,0.113091424,0.80051565,0.8889847
18,0.09831296,0.8250122,0.90403664,0.102229476,0.8178213,0.8995144
19,0.09750824,0.82645893,0.9048763,0.102118626,0.81844395,0.8998196
20,0.09381568,0.8323848,0.90840155,0.11450151,0.7976706,0.887058
21,0.09245004,0.8347765,0.909838,0.10082406,0.82071686,0.9011382
22,0.09050866,0.8375979,0.91152984,0.10041092,0.8214286,0.9015722
23,0.09052705,0.83768904,0.91159534,0.107837416,0.80786204,0.8933985
24,0.09115657,0.83646375,0.91084856,0.09873267,0.82297456,0.90242743
25,0.08814994,0.8412661,0.9136858,0.12790781,0.77513725,0.8732703
26,0.08502177,0.8466292,0.9169057,0.10603355,0.8102636,0.8950799
27,0.08308621,0.8496397,0.9186536,0.103753865,0.81386024,0.8972587
28,0.08356749,0.84900606,0.91823447,0.10189463,0.8167912,0.89902276
29,0.08106642,0.85326326,0.92074335,0.100903615,0.8185209,0.90005714
30,0.08019285,0.8546311,0.92156035,0.10008179,0.8200372,0.9009625
31,0.08043627,0.8541633,0.9212936,0.100422084,0.8193833,0.90056646
32,0.08164362,0.8520974,0.9200414,0.09797181,0.8239187,0.9032627
33,0.07844881,0.8576558,0.9232817,0.0996446,0.8208671,0.90144193
34,0.08023042,0.8545239,0.921497,0.09818412,0.8234998,0.9029997
35,0.079557985,0.8556717,0.92211896,0.09891391,0.82219917,0.90223354
36,0.07895095,0.85668147,0.9227321,0.09900733,0.8221587,0.90220094
37,0.080265544,0.85450876,0.921472,0.097032264,0.825643,0.9042691
38,0.07758094,0.85900193,0.92408884,0.098090515,0.82392585,0.90323704
39,0.07863273,0.8573212,0.9231175,0.09616532,0.8270702,0.9051128
40,0.07921986,0.8561938,0.9224645,0.09722948,0.82521486,0.9040162
41,0.07783703,0.85856503,0.9238345,0.097675644,0.824537,0.9036029
42,0.07993631,0.85498065,0.9217579,0.09700773,0.8256102,0.90424156
43,0.07698477,0.860059,0.92469573,0.09835313,0.823315,0.9028806
44,0.07878226,0.85685796,0.92284554,0.09697618,0.82564056,0.90427786
