epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.36494625,0.51978576,0.67214024,0.24053691,0.63762975,0.7784324
1,0.21552345,0.6717273,0.80326474,0.22541648,0.6457295,0.7844499
2,0.18085031,0.7138807,0.83275235,0.21906787,0.6515513,0.78870845
3,0.1644084,0.7341487,0.84642166,0.16060853,0.73318386,0.8457866
4,0.15093227,0.75110435,0.85765135,0.16221792,0.72947305,0.84338576
5,0.14010142,0.7659475,0.8672556,0.15937264,0.7316248,0.84479624
6,0.13203193,0.77701765,0.8743312,0.17359395,0.7124216,0.83181226
7,0.13038765,0.7784573,0.87520564,0.14625011,0.7521066,0.85828865
8,0.12358273,0.7882165,0.88136303,0.14006642,0.75988656,0.86333555
9,0.11904895,0.79478693,0.8854088,0.15188012,0.7424045,0.8518493
10,0.1179462,0.79604495,0.8861396,0.2407499,0.61762553,0.763219
11,0.111908704,0.8049563,0.89174056,0.1254986,0.7815834,0.8772218
12,0.10876721,0.80973876,0.89459807,0.12626639,0.7799804,0.87615216
13,0.106224224,0.81336886,0.89693,0.124409646,0.7833621,0.87821954
14,0.10217313,0.81976163,0.90075016,0.121766776,0.7871346,0.88065124
15,0.10150422,0.8207404,0.9013657,0.1387324,0.76013124,0.8635408
16,0.100101344,0.8226808,0.9025275,0.12482082,0.781677,0.8772081
17,0.09876679,0.82464445,0.9037393,0.11840746,0.7917975,0.8835694
18,0.095023826,0.83079344,0.9073665,0.12066683,0.78824717,0.8812969
19,0.09254196,0.83487743,0.90982616,0.12638672,0.7791608,0.875579
20,0.09440943,0.8314677,0.9077902,0.121565394,0.78645235,0.8801955
21,0.09234467,0.8346323,0.90971315,0.1210325,0.78717864,0.88067776
22,0.090505704,0.8376308,0.91145164,0.1168656,0.79386646,0.88483936
23,0.08961071,0.8390369,0.9123148,0.11898195,0.7902512,0.8826093
24,0.08825061,0.8412931,0.91364664,0.12442821,0.78181976,0.87723947
25,0.087326765,0.8427996,0.9145497,0.13308212,0.7683632,0.86881536
26,0.08363649,0.84886473,0.91814876,0.115410805,0.79605967,0.8862263
27,0.0826128,0.85065687,0.9191546,0.11515553,0.7964461,0.88647634
28,0.08129422,0.8527811,0.9204096,0.11221224,0.8012466,0.8894164
29,0.08072128,0.8537641,0.9209861,0.1125075,0.8007185,0.88910115
30,0.08069484,0.8539115,0.92104256,0.11235097,0.8011557,0.8893581
31,0.08148373,0.8525119,0.92027754,0.111200556,0.8026441,0.8902779
32,0.08052051,0.85409695,0.92119133,0.11514707,0.7963394,0.88641506
33,0.08062119,0.8539811,0.9211132,0.11408411,0.7980426,0.88746387
34,0.07965249,0.85555816,0.92205286,0.11660585,0.79394925,0.88493264
35,0.07923474,0.856345,0.9224965,0.11388441,0.7983658,0.8876565
36,0.07947602,0.85594064,0.9222305,0.113950744,0.79846185,0.8877146
37,0.080917396,0.8534627,0.9208223,0.11259402,0.8003935,0.88892084
38,0.07955715,0.85579365,0.9221576,0.116475135,0.7942073,0.8850979
39,0.08037217,0.85446715,0.92140335,0.11477567,0.7968003,0.88670325
40,0.0796579,0.8555401,0.92204106,0.11615497,0.79451877,0.8852991
41,0.07697027,0.86020076,0.92472786,0.11513046,0.79628414,0.8864009
42,0.07878472,0.8570509,0.9229203,0.121384956,0.78594023,0.8800042
43,0.07968325,0.855428,0.92198634,0.116064124,0.79472214,0.88544106
44,0.079165496,0.85648763,0.9225616,0.117364116,0.7924922,0.8840643
