epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.73639774,0.16902816,0.28786474,0.6091819,0.3198503,0.48440224
1,0.59206074,0.33178303,0.49533644,0.48143488,0.44204888,0.61275625
2,0.46924064,0.45453328,0.62440586,0.39714435,0.5068854,0.672557
3,0.4080416,0.49882364,0.66515297,0.33644077,0.55906266,0.71711004
4,0.36386752,0.533166,0.6951166,0.31421688,0.5740283,0.7292477
5,0.33794543,0.55010635,0.7094403,0.28945574,0.5964472,0.7471279
6,0.32269004,0.56312174,0.7201638,0.28321582,0.59693944,0.7474987
7,0.30207372,0.58297867,0.73629177,0.265499,0.6158065,0.7621465
8,0.28832325,0.59442574,0.74530137,0.25652063,0.62658143,0.77033436
9,0.28151622,0.5983915,0.7482741,0.24718872,0.63552344,0.77704763
10,0.2697894,0.612587,0.759312,0.23839904,0.64377165,0.78317237
11,0.2561747,0.6271862,0.770534,0.2365729,0.64479125,0.78391016
