epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.31612125,0.5526231,0.6986806,0.24174294,0.61804277,0.76384807
1,0.17356884,0.7140574,0.8328359,0.17383556,0.7100383,0.83023787
2,0.14191349,0.75917363,0.86288846,0.18091093,0.70028424,0.8234462
3,0.12189771,0.78885746,0.88179564,0.15462711,0.73694974,0.8483474
4,0.11354675,0.801625,0.8897364,0.1294144,0.7762536,0.8738339
5,0.11041535,0.80607784,0.8924232,0.13315535,0.7698849,0.86981225
6,0.101340875,0.8203828,0.9012098,0.13273261,0.7680302,0.8686571
7,0.09491699,0.83027554,0.9071402,0.12310894,0.78451073,0.8790624
8,0.0927602,0.8338206,0.90926117,0.12200544,0.7862531,0.8801389
9,0.093052655,0.8332245,0.9088424,0.13216549,0.76914614,0.8694142
10,0.08980317,0.8384453,0.9119723,0.12678865,0.7791778,0.8756728
11,0.086826436,0.843187,0.91480166,0.11083095,0.80319995,0.8906877
12,0.0829216,0.8495916,0.918589,0.12140912,0.78582346,0.8799462
13,0.084009826,0.8477861,0.91745824,0.117494,0.7930741,0.8843912
14,0.082329325,0.85041565,0.9190559,0.12514757,0.77995783,0.8762516
15,0.08120681,0.85224825,0.9201555,0.106429,0.8098606,0.894763
16,0.087077975,0.8421926,0.9142416,0.1262664,0.7787245,0.8752981
17,0.085378475,0.8451839,0.9159708,0.113370076,0.7991835,0.8882115
18,0.08010411,0.8539106,0.9210772,0.13307732,0.7672106,0.868179
19,0.074914835,0.86274123,0.92619,0.104398094,0.8128998,0.89662296
20,0.07530316,0.8619668,0.9257568,0.10436811,0.812587,0.89644027
21,0.074807376,0.86271226,0.9262063,0.12792751,0.775466,0.8733485
22,0.07493553,0.8624351,0.9260567,0.11363625,0.7975915,0.88725775
23,0.07279766,0.86614895,0.9281845,0.100685,0.8185203,0.90004855
24,0.07114736,0.868927,0.9297903,0.09841553,0.8227703,0.9025533
25,0.06985895,0.8710688,0.9310047,0.09707729,0.8246905,0.90371394
26,0.07055666,0.8698922,0.93031424,0.09553868,0.82731384,0.90527785
27,0.067187935,0.8757125,0.9336618,0.09472067,0.8286103,0.90604746
28,0.06808444,0.8740862,0.9327177,0.094990745,0.82818735,0.9057956
29,0.066470526,0.87699616,0.93434906,0.09458769,0.8288275,0.90618026
30,0.065759644,0.8781852,0.93505996,0.09479868,0.82847786,0.905972
31,0.066480964,0.8769207,0.93432677,0.094768636,0.82857805,0.90603155
32,0.0644752,0.8803977,0.9363288,0.09440049,0.829228,0.9064233
33,0.06430265,0.88066536,0.93648136,0.09458335,0.8289367,0.9062501
34,0.064194,0.8809342,0.9366206,0.09543013,0.8274621,0.9053652
35,0.06337261,0.8823198,0.93740815,0.09498381,0.8282473,0.90584004
36,0.06596151,0.8778807,0.9348418,0.09437106,0.82922184,0.9064236
37,0.063695796,0.8818031,0.93708503,0.09445558,0.8290839,0.9063429
38,0.06383454,0.8816011,0.93698204,0.09472341,0.82868093,0.9061025
39,0.06269343,0.88353294,0.938101,0.09514469,0.8280024,0.9056951
40,0.062835924,0.88324726,0.9379365,0.09448742,0.82906216,0.9063312
41,0.06337899,0.8822715,0.9373769,0.09492311,0.8284099,0.90594405
42,0.062769145,0.88335246,0.93799055,0.094787575,0.8285638,0.90604085
43,0.06418108,0.88091433,0.9365822,0.09467126,0.8287172,0.9061371
44,0.061988793,0.8847851,0.9387774,0.093991645,0.82992595,0.9068565
