epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.5190739,0.37094623,0.5202935,0.32451725,0.5243339,0.6877154
1,0.24420087,0.63729537,0.7777909,0.23688719,0.6385997,0.7793278
2,0.19496456,0.69565,0.82015705,0.18663177,0.6985695,0.8223376
3,0.16799852,0.73028904,0.8439227,0.17372185,0.71605915,0.8342689
4,0.15066835,0.7535457,0.8592348,0.16075031,0.73408157,0.84631366
5,0.14555748,0.75856143,0.86247706,0.16001391,0.73548627,0.8473748
6,0.1311091,0.77971417,0.87603956,0.17040896,0.7160883,0.83436584
7,0.12541169,0.78758645,0.8809353,0.14112054,0.7612677,0.8641888
8,0.12146503,0.7928399,0.88426125,0.15138134,0.74369246,0.85275424
9,0.11383912,0.8039168,0.89115465,0.1406493,0.7607494,0.8639219
10,0.10979207,0.8101776,0.89499325,0.13851838,0.7627257,0.86512506
11,0.1067011,0.81485146,0.8978349,0.14187217,0.757937,0.8620406
12,0.105716445,0.8156314,0.89828295,0.14155792,0.75796795,0.86209005
13,0.10399187,0.8183326,0.89985365,0.13252985,0.773058,0.8716045
14,0.099203356,0.8257594,0.9044099,0.12312742,0.786288,0.8800703
15,0.09804292,0.82739246,0.9053763,0.12003263,0.7921876,0.8837548
16,0.09478174,0.8324863,0.9084592,0.1205062,0.7909099,0.8829271
17,0.093819395,0.8340128,0.9093799,0.11428468,0.8000553,0.888669
18,0.092669494,0.83575076,0.9103844,0.11828888,0.7923661,0.883959
19,0.08929413,0.8409227,0.9134634,0.12368548,0.7840514,0.87866324
20,0.089054726,0.8412648,0.9136489,0.12106019,0.78839403,0.8814455
21,0.08933268,0.8406435,0.9132857,0.12078926,0.7894645,0.88201886
22,0.08649672,0.8453584,0.91607654,0.13091983,0.7725935,0.87146866
23,0.08445791,0.84867847,0.9180604,0.12531859,0.78085417,0.87672544
24,0.08749333,0.84340996,0.91488975,0.13031939,0.77237004,0.8712863
25,0.08317965,0.8505809,0.9191239,0.1120165,0.8023234,0.89008844
26,0.079725675,0.8563006,0.92245656,0.114809655,0.7975675,0.887124
27,0.082074195,0.85236996,0.92016786,0.114874326,0.79729486,0.8869669
28,0.0782194,0.8588179,0.92394924,0.11553278,0.7962435,0.8862952
29,0.07688206,0.86134636,0.92534715,0.11802075,0.7922437,0.8838062
30,0.07731014,0.8605509,0.92492455,0.11382444,0.7989163,0.8879686
31,0.0769964,0.8610259,0.9251898,0.11618513,0.7953042,0.8857192
32,0.07695545,0.86106056,0.9252299,0.119017795,0.79062825,0.8828101
33,0.07554038,0.8634025,0.9266184,0.1153349,0.796742,0.8866003
34,0.07606682,0.8626434,0.9261392,0.1165731,0.7946977,0.8853288
35,0.07485984,0.8645089,0.9272459,0.11570607,0.79596823,0.8861335
36,0.07571806,0.86317176,0.9264578,0.1190042,0.7906596,0.8828138
37,0.076701306,0.86143506,0.92546463,0.115325436,0.79679126,0.8866378
38,0.07695772,0.8610095,0.9251701,0.11354593,0.7995494,0.8883731
39,0.075819254,0.8629965,0.92633784,0.11611627,0.7956442,0.8859305
40,0.07616576,0.8622123,0.9259228,0.11144026,0.80304295,0.8905057
41,0.075219095,0.8639123,0.9269009,0.1152636,0.79660875,0.8865448
42,0.07419613,0.8655683,0.9278435,0.113161236,0.80009663,0.88869977
43,0.07526795,0.86375177,0.9268037,0.116476186,0.7945659,0.885265
44,0.07395259,0.8661951,0.9281801,0.11198678,0.8020609,0.8899015
