epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.2287465,0.6586325,0.7786451,0.13144934,0.7699668,0.86869085
1,0.11820185,0.79162866,0.88204086,0.11175342,0.8012309,0.8882691
2,0.10306489,0.8155574,0.89699817,0.1144848,0.7971104,0.88551617
3,0.09782499,0.8243914,0.90223485,0.11173573,0.80140376,0.8883543
4,0.09397682,0.8305723,0.90605485,0.10627627,0.81016254,0.89374894
5,0.087049894,0.8417612,0.9129697,0.10207458,0.8171591,0.89794207
6,0.08467438,0.8457512,0.9153397,0.10640794,0.8095966,0.89359784
7,0.08741243,0.8413148,0.9126014,0.09824717,0.8232278,0.90176135
8,0.079250075,0.855275,0.9207613,0.09678754,0.8257083,0.9032283
9,0.07976244,0.85423505,0.9202492,0.11333962,0.7990887,0.8866627
10,0.07784819,0.8574825,0.9221712,0.10225047,0.817218,0.8977527
11,0.07911823,0.8553204,0.92089206,0.09356757,0.8310941,0.9064411
12,0.07867504,0.85608095,0.9213345,0.10279228,0.81558096,0.89722323
13,0.07409784,0.86340064,0.9259107,0.095621265,0.827559,0.90439266
14,0.07491711,0.86232746,0.9250963,0.09751204,0.8246757,0.9025033
15,0.07414142,0.86382294,0.9258686,0.09087059,0.83552843,0.9091364
16,0.07080317,0.86919177,0.92920375,0.098848306,0.822306,0.90116465
17,0.074251056,0.8638195,0.92575645,0.10082373,0.81880033,0.8991973
18,0.07373993,0.86430293,0.9263164,0.10065007,0.81955683,0.8993634
19,0.07178194,0.8679271,0.92822635,0.09573548,0.827415,0.90427655
20,0.07260621,0.8661992,0.92740035,0.094572306,0.8291465,0.9054386
21,0.06887939,0.8726358,0.93112844,0.0951056,0.8286246,0.90490055
22,0.06945265,0.8719789,0.93055415,0.09802749,0.82373124,0.90198034
23,0.06731481,0.8755603,0.9327036,0.089454524,0.8382177,0.9105489
24,0.07039459,0.8702194,0.9296117,0.10927375,0.80622506,0.8907415
25,0.068102665,0.87429297,0.9319026,0.093253694,0.83152807,0.9067546
26,0.06461424,0.88019025,0.9353926,0.09109936,0.83511394,0.90890807
27,0.06456216,0.88019335,0.93544376,0.09107776,0.83515507,0.9089291
28,0.060789715,0.8864257,0.9392152,0.09053434,0.8361051,0.90947515
29,0.062450375,0.88387907,0.93755513,0.09055281,0.83607596,0.9094542
30,0.061070334,0.8857382,0.93893516,0.090473674,0.8362081,0.9095335
31,0.062401317,0.8841376,0.93760365,0.09049845,0.8361854,0.9095098
32,0.06281829,0.8834766,0.9371874,0.0905085,0.8361543,0.9094989
33,0.06245412,0.8838676,0.93755114,0.090003446,0.8370351,0.91000444
34,0.061650913,0.8853574,0.9383544,0.089485444,0.83792907,0.9105223
