epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.37216696,0.5464574,0.6961206,0.27446708,0.5811267,0.7338223
1,0.18819539,0.6934793,0.8176326,0.17060955,0.71272594,0.8315208
2,0.15596259,0.7351235,0.8463073,0.14077984,0.75581586,0.8603586
3,0.14297277,0.7529962,0.8583206,0.16161747,0.72366595,0.83907944
4,0.13597152,0.7633462,0.86487335,0.13378617,0.7662423,0.86693376
5,0.124243595,0.78119063,0.8763586,0.12534243,0.7788177,0.87503123
6,0.119221196,0.7888878,0.88126487,0.13273974,0.7675531,0.86766666
7,0.11493593,0.79546565,0.88551474,0.12956265,0.7721201,0.8707572
8,0.1232619,0.782553,0.8770565,0.17965177,0.69830644,0.82058156
9,0.113759026,0.79722387,0.8865078,0.11132062,0.8010936,0.8888872
10,0.10419995,0.81250966,0.8960254,0.11728296,0.79136,0.88288164
11,0.09749162,0.82348895,0.90269464,0.1005973,0.81853926,0.8995861
12,0.10603751,0.8094671,0.89414185,0.11665987,0.79233116,0.88350505
13,0.09887635,0.8211824,0.9012676,0.11124946,0.8009028,0.88883746
14,0.100596,0.8182866,0.89954096,0.112569414,0.7987041,0.88756484
15,0.10632783,0.8089601,0.8938001,0.11005454,0.8026812,0.89006025
16,0.102476664,0.81525636,0.89772755,0.1031106,0.8141256,0.8969928
17,0.104220025,0.812892,0.8958955,0.114454456,0.7957821,0.88564897
18,0.09850994,0.8216615,0.90159494,0.09895546,0.82102495,0.90115464
19,0.08698984,0.8406251,0.9130902,0.09902491,0.82073414,0.9010419
20,0.08897813,0.83758414,0.9110978,0.10566647,0.80990064,0.89439094
21,0.095585205,0.82644975,0.9044962,0.11420657,0.7960991,0.88588434
22,0.09049772,0.8349046,0.9095763,0.09835862,0.82200634,0.9017092
23,0.08839054,0.8382689,0.9116809,0.10725862,0.80702245,0.8927973
24,0.087638944,0.83966136,0.9124236,0.10547734,0.8102749,0.894568
25,0.09059446,0.83462864,0.90946436,0.10440488,0.8117956,0.8956884
26,0.08863132,0.8379496,0.91143066,0.101438366,0.816669,0.8986053
27,0.08512327,0.8437417,0.9149334,0.09808061,0.8222616,0.901969
28,0.08151993,0.8499704,0.91853285,0.09699744,0.8240507,0.903055
29,0.080891445,0.85106397,0.91916406,0.096669644,0.8246351,0.9033822
30,0.080318496,0.8520402,0.91973484,0.09601598,0.82563657,0.90403956
31,0.07885194,0.85455346,0.9211991,0.09591823,0.825836,0.9041327
32,0.08118691,0.8505591,0.91886616,0.09549446,0.82653797,0.9045544
33,0.07960396,0.85320294,0.9204493,0.094800256,0.827662,0.90524036
34,0.08012049,0.85229003,0.9199348,0.094158925,0.82873565,0.905901
35,0.078746825,0.8546798,0.9213014,0.09495605,0.82738674,0.9050883
36,0.07847694,0.855177,0.92157507,0.09477695,0.82775235,0.9052742
37,0.07755942,0.85673356,0.92249465,0.093893066,0.82919353,0.9061498
38,0.07817537,0.85564303,0.92187405,0.09409899,0.82883155,0.90594214
39,0.07946898,0.8537119,0.9205811,0.09435785,0.8284166,0.90569544
40,0.07775219,0.8563399,0.9222971,0.094080985,0.8288537,0.90597177
41,0.077722095,0.8564994,0.92232347,0.094437234,0.8282716,0.90560603
42,0.07608977,0.859289,0.92396235,0.09350105,0.82984674,0.90654236
43,0.077628046,0.856695,0.92242426,0.094255656,0.8286113,0.9057917
44,0.07691531,0.85776746,0.9231382,0.09338105,0.8300655,0.9066612
