epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.3353196,0.518212,0.66676974,0.19947961,0.6705425,0.8006504
1,0.20552224,0.6654254,0.7947215,0.23736483,0.6200836,0.7626905
2,0.17176963,0.7125389,0.8284154,0.17686781,0.7036721,0.8231454
3,0.1547227,0.73743594,0.8453468,0.14934601,0.745118,0.8506637
4,0.14669918,0.7493958,0.85334456,0.13456,0.7669708,0.86544234
5,0.13384022,0.76838964,0.8662329,0.13075352,0.7730288,0.8692617
6,0.12418164,0.78297395,0.8758599,0.14485452,0.7521534,0.85519195
7,0.11875165,0.7917915,0.88128114,0.10718619,0.8108319,0.89282066
8,0.12118143,0.7893186,0.8788656,0.12132661,0.7879274,0.87868035
9,0.11149313,0.8033632,0.8885326,0.11935522,0.7912992,0.8806382
10,0.114129655,0.8000381,0.885893,0.13791406,0.7648638,0.86208886
11,0.105712965,0.81256413,0.89430696,0.11024646,0.8054145,0.88976914
12,0.10986689,0.8067976,0.89015156,0.11235822,0.8023434,0.887651
13,0.103136234,0.8167194,0.89689136,0.11339207,0.8005736,0.88660353
14,0.10107381,0.8198017,0.89894557,0.12173288,0.78808284,0.8782589
15,0.10065499,0.82054156,0.8993686,0.123593576,0.7847586,0.8764227
16,0.09885994,0.82368606,0.9011586,0.118134014,0.79272646,0.8818807
17,0.0964191,0.82746565,0.9035978,0.11110299,0.80457866,0.8889023
18,0.09460977,0.8302734,0.90540755,0.12161541,0.7886803,0.8783965
