epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.5444601,0.3113499,0.46054733,0.6297502,0.2302533,0.3710005
1,0.308283,0.53519255,0.6922308,0.23017178,0.62775904,0.76999557
2,0.22897574,0.63146144,0.7712366,0.99825203,0.0008311887,0.0016589582
3,0.20867021,0.65975624,0.79145324,0.18567333,0.68810695,0.81438726
4,0.17995416,0.6975009,0.82013935,0.20890465,0.6561987,0.7917327
5,0.1663712,0.71748203,0.83371645,0.35072666,0.48209995,0.6493006
6,0.15545855,0.73351216,0.8446216,0.23569092,0.6195736,0.764356
7,0.14697464,0.7458456,0.8530897,0.22438845,0.6347366,0.77567446
8,0.13745046,0.76072717,0.86260986,0.22627035,0.63257384,0.7738021
9,0.13310583,0.76717323,0.86694133,0.12352746,0.7808428,0.8764985
10,0.1296147,0.77240837,0.87043935,0.20371631,0.66310537,0.79631317
11,0.12597524,0.7784465,0.8740696,0.15539034,0.73207396,0.8446407
12,0.12309004,0.7831104,0.8769556,0.62747866,0.22896585,0.3722085
13,0.12004008,0.7876383,0.88001335,0.11793994,0.78993326,0.88208276
14,0.11530641,0.79492587,0.8847321,0.11807656,0.7900289,0.8819396
15,0.1120934,0.800198,0.8879507,0.33223855,0.5047871,0.66892874
16,0.11465478,0.79822654,0.8853875,0.12311207,0.78183806,0.8769154
17,0.10932959,0.804635,0.8907075,0.109787494,0.8028558,0.8902398
18,0.106864125,0.8086991,0.89316964,0.11414093,0.79591763,0.8858925
19,0.1019581,0.8166601,0.89807713,0.12174492,0.78405887,0.8782617
20,0.10136589,0.8175021,0.89866495,0.50847024,0.3273502,0.4918367
21,0.101930246,0.8166546,0.89810514,0.112279974,0.7987821,0.88775694
22,0.0984344,0.8221085,0.9015949,0.11053342,0.80207133,0.88948333
23,0.09748506,0.8239551,0.90254086,0.20641637,0.65921026,0.7935892
24,0.10064751,0.818904,0.89938176,0.11856896,0.7887408,0.8814602
25,0.09998256,0.8198106,0.9000465,0.11597572,0.793012,0.8840564
26,0.09250923,0.83192766,0.90751296,0.10429917,0.8120716,0.8957224
27,0.08976494,0.8366265,0.9102613,0.10236195,0.81520563,0.89765745
28,0.08746025,0.84030926,0.912562,0.10282209,0.81449616,0.8972025
29,0.08839492,0.83897346,0.91162956,0.102696605,0.81453717,0.8973235
30,0.08510723,0.844437,0.9149171,0.10196519,0.81577325,0.8980627
31,0.08656662,0.8418914,0.91345596,0.10001054,0.8190219,0.9000112
32,0.084035076,0.845915,0.9159873,0.09966399,0.819613,0.9003525
33,0.083504744,0.8471413,0.91652036,0.09994567,0.8191491,0.90007335
34,0.0835274,0.8469774,0.9164958,0.10036796,0.8183951,0.89965427
35,0.08263805,0.8486402,0.91738373,0.1006865,0.81787825,0.89933544
36,0.08159614,0.8502216,0.918428,0.099543355,0.8197456,0.9004811
37,0.08262384,0.8484684,0.917401,0.09897504,0.8207052,0.9010523
38,0.08313272,0.8477563,0.9168933,0.09825585,0.8219868,0.9017642
39,0.08236298,0.849026,0.917663,0.09770462,0.8228688,0.9023164
40,0.08009722,0.85268503,0.91992706,0.09773743,0.822784,0.9022874
41,0.080792256,0.8516368,0.91923434,0.09863869,0.8212507,0.90138197
42,0.082459375,0.8493887,0.9175662,0.097068906,0.82390857,0.9029533
43,0.08082638,0.85142446,0.91919863,0.09713282,0.82377225,0.9028857
44,0.08171489,0.8504767,0.91830724,0.097537965,0.8231435,0.9024909
