epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.43996227,0.4309694,0.5945547,0.60514665,0.25158057,0.39669743
1,0.33730778,0.50521463,0.66419524,0.23052678,0.6283142,0.76996857
2,0.2984145,0.547765,0.7022224,0.26536176,0.58274287,0.7351303
3,0.2877604,0.56017405,0.7126809,0.3102321,0.5332269,0.68992835
4,0.21807188,0.64571357,0.78232366,0.2176883,0.644772,0.7825215
5,0.18832229,0.6864818,0.811979,0.18056415,0.69603324,0.81963104
6,0.19024575,0.68451023,0.8099943,0.21887419,0.64432883,0.7813857
7,0.2090445,0.65949684,0.79116493,0.17170666,0.7095138,0.82841295
8,0.17879187,0.70085967,0.82139874,0.26890755,0.5862571,0.73119116
9,0.1648194,0.7209007,0.8353353,0.15511946,0.7335302,0.8449985
10,0.14250775,0.75329804,0.85763645,0.15249284,0.7373316,0.847573
11,0.17071427,0.71351516,0.8294354,0.15221335,0.7378345,0.84788126
12,0.15470326,0.735693,0.8454285,0.20502976,0.66193724,0.79505086
13,0.17722088,0.7026672,0.82292277,0.1643955,0.72057015,0.83570075
14,0.14826058,0.7449219,0.85185176,0.14016172,0.7565548,0.85991704
15,0.12726463,0.7762727,0.87284744,0.13490038,0.76442736,0.86517173
16,0.18745519,0.6933385,0.81265616,0.18668182,0.6880166,0.81350595
17,0.15184048,0.73949385,0.8482639,0.14198376,0.75496435,0.85809445
18,0.1362548,0.76271117,0.8638235,0.1474323,0.7450993,0.8525976
19,0.11390721,0.7973966,0.8861683,0.118742965,0.7895406,0.8813232
20,0.11861783,0.7902056,0.8814589,0.121118784,0.7860469,0.87892574
21,0.11756559,0.79179674,0.88251173,0.13406588,0.7655178,0.8660319
22,0.12125183,0.7860807,0.8788187,0.13919221,0.7581202,0.8608447
23,0.10977811,0.80437565,0.890278,0.12242717,0.78381634,0.8776383
24,0.11998925,0.7881921,0.88007486,0.120405346,0.78723186,0.8796326
25,0.12528497,0.7803668,0.87480235,0.14515337,0.74928707,0.85485494
26,0.124427214,0.7807123,0.8756218,0.12672642,0.77715474,0.873292
27,0.1167974,0.79261744,0.8832596,0.123253144,0.782539,0.876762
28,0.114656806,0.7962782,0.88540465,0.12099002,0.7861451,0.8790382
29,0.11347926,0.7985797,0.88658565,0.118584484,0.7900158,0.88143355
30,0.108304314,0.8063543,0.8917601,0.119767375,0.78820896,0.88025016
31,0.107988395,0.8070013,0.8920743,0.117270306,0.792173,0.88274866
32,0.111265846,0.8017267,0.8887988,0.11714341,0.7922115,0.8828707
33,0.10975783,0.80420285,0.89030427,0.117115736,0.79237413,0.8829124
34,0.1076191,0.8073429,0.8924474,0.11659693,0.7930852,0.8834207
35,0.10724781,0.8084383,0.89281887,0.11468887,0.7962034,0.8853418
36,0.10666001,0.80948377,0.8934031,0.11305737,0.7988495,0.88696676
37,0.10536913,0.8113004,0.89469707,0.11258116,0.7995958,0.88745123
38,0.10616347,0.8100032,0.89390063,0.11146925,0.8015529,0.88858336
39,0.10530696,0.8115141,0.89475346,0.11039553,0.80311066,0.88964015
40,0.1030523,0.81482285,0.8970109,0.11424454,0.797102,0.8858023
41,0.10559183,0.8108632,0.8944723,0.11303417,0.7990048,0.887002
42,0.1019551,0.8167126,0.8981141,0.11069897,0.80274945,0.88935035
43,0.103779055,0.8136859,0.89628035,0.110680595,0.8027325,0.8893578
44,0.102120966,0.8166687,0.8979398,0.11041541,0.80318934,0.88962877
