epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.77330947,0.19243227,0.30921313,0.6459913,0.49496356,0.6606703
1,0.58894676,0.56295335,0.71635693,0.4703309,0.65294325,0.78845096
2,0.49109468,0.6679797,0.79837936,0.40258735,0.70003843,0.8218694
3,0.40734655,0.7212957,0.83615994,0.3361176,0.72551316,0.8391824
4,0.34753823,0.75658286,0.8596013,0.29585084,0.74395907,0.8515767
5,0.30034572,0.77869135,0.87407845,0.26163954,0.7544456,0.85876805
6,0.26006588,0.79907626,0.8867215,0.2426209,0.7642647,0.86500764
7,0.22893904,0.8125264,0.8952204,0.21625233,0.7744473,0.8717212
8,0.20369293,0.8239954,0.9023976,0.19365202,0.78367895,0.87742895
9,0.18165556,0.82930464,0.9055755,0.17430826,0.7976893,0.88633686
10,0.16421306,0.8347533,0.9089225,0.1682143,0.79163915,0.8821708
11,0.15061964,0.83973974,0.911591,0.17093514,0.77559334,0.87249434
12,0.13699055,0.84549314,0.9152343,0.1490843,0.7982813,0.88672566
13,0.124836445,0.8507815,0.91846186,0.14214918,0.80080986,0.8882566
14,0.11644075,0.8543484,0.9205727,0.15072614,0.78115755,0.87597686
15,0.11024243,0.855387,0.92113644,0.13708052,0.7940045,0.88396657
16,0.10168476,0.8596265,0.9236613,0.14431922,0.7766795,0.8731278
17,0.09557758,0.8642951,0.9261945,0.13433161,0.7878803,0.8803414
18,0.09098501,0.866463,0.9276232,0.13347629,0.7854615,0.87881637
19,0.0879374,0.86604583,0.9274226,0.12990019,0.7878149,0.88025486
20,0.08616315,0.8666031,0.9273446,0.12795907,0.7889367,0.8810219
21,0.08217515,0.8692397,0.92915714,0.13109788,0.7814765,0.8762541
22,0.07696015,0.87500376,0.93257254,0.12180004,0.7949237,0.88465357
23,0.075323224,0.8756221,0.93279475,0.12536578,0.7875125,0.87995905
24,0.073025726,0.87696797,0.93382967,0.12104085,0.7930796,0.8835035
